自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,構成,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品分類1,商品分類2,分類番号,仕様,備考,注意事項,定価,入り送料
スバル,フォレスター,SG5,2002/2～2004/12,EJ20T,アプライドA～C,ディスク＋カバー,44362,,292733,660-022-FN-qq-e-f1-651k,4996338080325,660 022 FN,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
スバル,フォレスター,SG5,2002/2～2004/12,EJ20T,アプライドA～C,ディスク,23117,,292913,00C-022-R660N-qq-e-f1-652k,4996338084200,00C 022 R660N,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,フォレスター,SG5,2005/1～2007/12,EJ20T,アプライドD～,ディスク＋カバー,42944,,292762,666-022-F-qq-e-f1-658k,4996338080738,666 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10600/1080(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,59000,0
スバル,フォレスター,SG5,2005/1～2007/12,EJ20T,アプライドD～,ディスク,23117,,292583,00C-022-R666-qq-e-f1-659k,4996338080707,00C 022 R666,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,フォレスター,SG9,2004/2～2007/12,EJ20T,2.5L STIバージョン,ディスク＋カバー,44362,,293000,667-022-F-qq-e-f1-663k,4996338080356,667 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11300/1150(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
スバル,フォレスター,SG9,2004/2～2007/12,EJ20T,2.5L STIバージョン,ディスク,23117,,292587,00C-022-R667-qq-e-f1-664k,4996338084217,00C 022 R667,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ240<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,レガシィ/レガシィツーリングワゴン/レガシィB4,BG5/BD5,1993/10～1998/12,EJ20T,,ディスク＋カバー,44362,,292734,660-022-FN-qq-e-f1-671k,4996338080325,660 022 FN,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ225<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
スバル,レガシィ/レガシィツーリングワゴン/レガシィB4,BG5/BD5,1993/10～1998/12,EJ20T,,ディスク,23117,,292581,00C-022-R660N-qq-e-f1-672k,4996338084200,00C 022 R660N,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ225<br>スプライン径:25.2<br>歯数:24,ディスク径:φ230,,29500,1100
スバル,レガシィ/レガシィツーリングワゴン/レガシィB4,BH5/BE5,1998/6～2003/5,EJ20T,,ディスク＋カバー,44362,,292735,660-022-FN-qq-e-f1-678k,4996338080325,660 022 FN,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
スバル,レガシィ/レガシィツーリングワゴン/レガシィB4,BH5/BE5,1998/6～2003/5,EJ20T,,ディスク,23117,,292914,00C-022-R660N-qq-e-f1-679k,4996338084200,00C 022 R660N,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,ディスク径:φ230,,29500,1100
スバル,レガシィ/レガシィツーリングワゴン/レガシィB4,BL5/BP5,2006/5～2009/5,EJ20T,6MT車<br>年式2007年6月以降 純正サイズφ230の車両は取付不可,ディスク＋カバー,44362,,293001,667-022-F-qq-e-f1-690k,4996338080356,667 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11300/1150(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
スバル,レガシィ/レガシィツーリングワゴン/レガシィB4,BL5/BP5,2006/5～2009/5,EJ20T,6MT車<br>年式2007年6月以降 純正サイズφ230の車両は取付不可,ディスク,23117,,292923,00C-022-R667-qq-e-f1-691k,4996338084217,00C 022 R667,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ240<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,レガシィ/レガシィツーリングワゴン/レガシィB4,BL5/BP5,2007/5～2009/5,EJ20T,アプライドE/F<br>5MT車,ディスク＋カバー,42944,,292996,666-022-F-qq-e-f1-685k,4996338080738,666 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10600/1080(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,59000,0
スバル,レガシィ/レガシィツーリングワゴン/レガシィB4,BL5/BP5,2007/5～2009/5,EJ20T,アプライドE/F<br>5MT車,ディスク,23117,,292919,00C-022-R666-qq-e-f1-686k,4996338080707,00C 022 R666,CUSCO,カッパーシングルディスク,カッパーシングルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,29500,1100
スバル,レガシィ/レガシィツーリングワゴン/レガシィB4,BLE/BPE,2005/5～2009/5,EZ30,6MT車,ディスク＋カバー,44362,,292779,667-022-F-qq-e-f1-699k,4996338080356,667 022 F,CUSCO,カッパーシングルディスクセット,カッパーシングルディスク,ディスク＋カバー,2,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11300/1150(N/kgf),カッパーシングルディスク&クスコクラッチカバー,,61000,0
