自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,構成,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品分類1,商品分類2,分類番号,仕様,備考,注意事項,定価,入り送料
スバル,インプレッサ,GC8,1992/11～1996/8,EJ20T,アプライドA～C,ディスク＋カバー,46418,,292736,660-022-G-qq-e-f1-553k,4996338080332,660 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ225<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),メタルディスク&クスコクラッチカバー<br>アプライドAは別途純正レリーズベアリング(スバル純正品番30502AA130)が必要です。,,63900,0
スバル,インプレッサ,GC8,1992/11～1996/8,EJ20T,アプライドA～C,ディスク,25567,,292411,00C-022-C201SF-qq-e-f1-554k,4996338083029,00C 022 C201SF,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ225<br>スプライン径:25.2<br>歯数:24,,,32800,1100
スバル,インプレッサ,GC8,1996/9～2000/8,EJ20T,アプライドD～G,ディスク＋カバー,46418,,292989,660-022-G-qq-e-f1-560k,4996338080332,660 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),メタルディスク&クスコクラッチカバー,,63900,0
スバル,インプレッサ,GC8,1996/9～2000/8,EJ20T,アプライドD～G,ディスク,25567,,292412,00C-022-C201SF-qq-e-f1-561k,4996338083029,00C 022 C201SF,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,32800,1100
スバル,インプレッサ,GDA,2000/8～2005/5,EJ20T,アプライドA～E,ディスク＋カバー,46418,,292737,660-022-G-qq-e-f1-567k,4996338080332,660 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),メタルディスク&クスコクラッチカバー,,63900,0
スバル,インプレッサ,GDA,2000/8～2005/5,EJ20T,アプライドA～E,ディスク,25567,,292413,00C-022-C201SF-qq-e-f1-568k,4996338083029,00C 022 C201SF,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,32800,1100
スバル,インプレッサ,GDA,2005/6～2007/6,EJ20T,アプライドF/G,ディスク＋カバー,46418,,292764,666-022-G-qq-e-f1-574k,4996338080721,666 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10600/1080(N/kgf),メタルディスク&クスコクラッチカバー,,63900,0
スバル,インプレッサ,GDA,2005/6～2007/6,EJ20T,アプライドF/G,ディスク,25567,,292495,00C-022-C666F-qq-e-f1-575k,4996338080714,00C 022 C666F,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,32800,1100
スバル,インプレッサ,GDB,2000/10～2007/6,EJ20T,アプライドA～G,ディスク＋カバー,44362,,292780,667-022-G-qq-e-f1-579k,4996338080363,667 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11300/1150(N/kgf),メタルディスク&クスコクラッチカバー,,61000,0
スバル,インプレッサ,GDB,2000/10～2007/6,EJ20T,アプライドA～G,ディスク,24824,,292501,00C-022-C667F-qq-e-f1-580k,4996338083258,00C 022 C667F,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ240<br>スプライン径:25.2<br>歯数:24,,,31800,1100
スバル,インプレッサ,GH8,2007/6～2011/12,EJ20T,,ディスク＋カバー,46418,,292765,666-022-G-qq-e-f1-588k,4996338080721,666 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ230<br>スプライン径:25.2<br>歯数:24<br>圧着力:10600/1080(N/kgf),メタルディスク&クスコクラッチカバー,,63900,0
スバル,インプレッサ,GH8,2007/6～2011/12,EJ20T,,ディスク,25567,,292496,00C-022-C666F-qq-e-f1-589k,4996338080714,00C 022 C666F,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ230<br>スプライン径:25.2<br>歯数:24,,,32800,1100
スバル,インプレッサ,GRB,2007/10～2014/8,EJ20T,,ディスク＋カバー,44362,,292781,667-022-G-qq-e-f1-593k,4996338080363,667 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11300/1150(N/kgf),メタルディスク&クスコクラッチカバー,,61000,0
スバル,インプレッサ,GRB,2007/10～2014/8,EJ20T,,ディスク,24824,,292871,00C-022-C667F-qq-e-f1-594k,4996338083258,00C 022 C667F,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ240<br>スプライン径:25.2<br>歯数:24,,,31800,1100
スバル,インプレッサ,GVB,2010/7～2014/8,EJ20T,,ディスク＋カバー,44362,,293003,667-022-G-qq-e-f1-602k,4996338080363,667 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ240<br>スプライン径:25.2<br>歯数:24<br>圧着力:11300/1150(N/kgf),メタルディスク&クスコクラッチカバー,,61000,0
スバル,インプレッサ,GVB,2010/7～2014/8,EJ20T,,ディスク,24824,,292502,00C-022-C667F-qq-e-f1-603k,4996338083258,00C 022 C667F,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ240<br>スプライン径:25.2<br>歯数:24,,,31800,1100
スバル,インプレッサスポーツワゴン,GF8,1993/10～1996/8,EJ20T,アプライドB/C,ディスク＋カバー,46418,,292738,660-022-G-qq-e-f1-611k,4996338080332,660 022 G,CUSCO,メタルディスクセット,メタルディスク,ディスク＋カバー,2,サイズ:φ225<br>スプライン径:25.2<br>歯数:24<br>圧着力:10300/1050(N/kgf),メタルディスク&クスコクラッチカバー,,63900,0
スバル,インプレッサスポーツワゴン,GF8,1993/10～1996/8,EJ20T,アプライドB/C,ディスク,25567,,292414,00C-022-C201SF-qq-e-f1-612k,4996338083029,00C 022 C201SF,CUSCO,メタルディスク,メタルディスク,ディスク,3,サイズ:φ225<br>スプライン径:25.2<br>歯数:24,,,32800,1100
