自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
ホンダ,インテグラ,DC2/DB8,1993/05～2001/07,B18C,MT,ヘリカル,ビスカス車装着不可,1WAY,124080,,296529,LSD-328-R-qq-e-f1-5467,4996338019950,LSD 328 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,付属パーツ:スピードメータードリブンギア<br>カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
ホンダ,インテグラタイプR,DC2/DB8,1995/10～2001/07,B18C,MT,ヘリカル,,1WAY,124080,,299520,LSD-328-R-qq-e-f1-5394,4996338019950,LSD 328 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,付属パーツ:スピードメータードリブンギア<br>カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
ホンダ,インテグラタイプR,DC5,2001/07～2007/02,B18C,MT,オープンデフ/ヘリカル,,1WAY,124080,,302009,LSD-329-R-qq-e-f1-5569,4996338008008,LSD 329 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,付属パーツ:スピードメータードリブンギア<br>オープンデフ車に装着時リングギアボルト(90017-PYZ-000×10)必要。<br>カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
ホンダ,シビックタイプR,EK9,1997/08～2000/09,B16B,MT,ヘリカル,,1WAY,124080,,301008,LSD-328-R-qq-e-f1-5511,4996338019950,LSD 328 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,付属パーツ:スピードメータードリブンギア<br>カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
ホンダ,シビックタイプR,FD2,2007/03～2010/08,K20A,MT,オープンデフ/ヘリカル,,1WAY,124080,,301011,LSD-331-R-qq-e-f1-5468,4996338007704,LSD 331 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,付属パーツ:スピードメータードリブンギア<br>付属のメータードリブンギヤは使用しません。<br>オープンデフ車に装着時リングギアボルト(90017-PYZ-000×10)必要。<br>カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
ホンダ,フィット,GE8,2010/10～2013/09,L15A,6MT,オープンデフ,グレードRSのみ適合,1WAY,124080,,298511,LSD-387-R-qq-e-f1-5600,4996338004956,LSD 387 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
ホンダ,フィット,GK5,2013/09～,L15B,6MT,オープンデフ,グレードRSのみ適合,1WAY,124080,,300030,LSD-387-R-qq-e-f1-5514,4996338004956,LSD 387 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
マツダ,RX-7,FD3S,1991/12～2002/08,13B-REW,MT/AT,トルセン,,1WAY,132880,,300789,LSD-165-R-qq-e-f1-5367,4996338019738,LSD 165 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
マツダ,RX-8,SE3P,2003/04～2013/04,13B-MSP,MT/AT,オープンデフ/トルセン,,1WAY,132880,,301743,LSD-165-R-qq-e-f1-5548,4996338019738,LSD 165 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
マツダ,ロードスター,NCEC,2005/08～2015/05,LF-VE,MT/AT,オープンデフ/トルセン,,1WAY,124080,,300036,LSD-428-R-qq-e-f1-5446,4996338008046,LSD 428 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
三菱,ギャランフォルティス,CY4A,2008/07～2015/04,4B11T,SST,機械式,ラリーアート<br>AYC無し車用,1WAY,124080,,296154,LSD-141-R-qq-e-f1-5435,4996338019899,LSD 141 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
三菱,ランサーエボリューションIX,CT9A,2005/03～2006/07,4G63T,MT,ACD付,MR含む,1WAY,180400,,298531,LSD-450-R-qq-e-f1-5449,4996338008084,LSD 450 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,付属パーツ:サイドベアリング<br>カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,205000
三菱,ランサーエボリューションIX,CT9A,2005/03～2006/07,4G63T,MT,機械式,MR含む<br>AYC無し車用,1WAY,124080,,297650,LSD-141-R-qq-e-f1-5390,4996338019899,LSD 141 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
三菱,ランサーエボリューションVII,CT9A,2001/02～2003/01,4G63T,MT,ACD付,,1WAY,180400,,300042,LSD-449-R-qq-e-f1-5448,4996338008060,LSD 449 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,付属パーツ:サイドベアリング<br>カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,205000
三菱,ランサーエボリューションVII,CT9A,2001/02～2003/01,4G63T,MT,機械式,AYC無し車用,1WAY,124080,,298677,LSD-141-R-qq-e-f1-5503,4996338019899,LSD 141 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
三菱,ランサーエボリューションVIII,CT9A,2003/01～2004/01,4G63T,MT,ACD付,MR含む,1WAY,180400,,298982,LSD-450-R-qq-e-f1-5469,4996338008084,LSD 450 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,フロント,付属パーツ:サイドベアリング<br>カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,205000
三菱,ランサーエボリューションVIII,CT9A,2003/01～2004/01,4G63T,MT,機械式,MR含む<br>AYC無し車用,1WAY,124080,,296678,LSD-141-R-qq-e-f1-5366,4996338019899,LSD 141 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
三菱,ランサーエボリューションX,CZ4A,2007/10～2015/09,4B11,MT,機械式,AYC無し車用,1WAY,124080,,296155,LSD-141-R-qq-e-f1-5436,4996338019899,LSD 141 R,CUSCO,プロ・アジャストLSD type-RS 1WAY,プロアジャストLSD type-RS,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
