自動車メーカー,車種,型式,年式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,アッパーマウント(F/R),バネレート(F/R),減衰力調整(F/R),オーバーホール(F/R),最大車高調整幅(F/R),推奨車高調整幅(F/R),参考車高(F/R),内径(F/R),自由長(F/R),車高調整機構(F/R),仕様,備考,注意事項,定価,SET価格
スバル,レガシィツーリングワゴン,BP5/BPE,2003/5～2009/5,2.0GT/2.0GT スペックB/2.0R/3.0R,4WD/2000・2000T・3000<br>アプライドA～F,86400,,241749,684-61J-CB-qq-e-f1-1132,684-61J-CB-qq-e-d-1132,4996338077875,684 61J CB,CUSCO,STREET A,,6k/6k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-52～-30/-60～-30,-50～-30/-50～-30,-30/-30,65/専用形状,230/専用形状,全長固定式/全長固定式,赤,リヤ装着時純正バンプラバー取外し必要<br>e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,120000,99600
スバル,レガシィツーリングワゴン,BR9,2009/5～2014/10,2.5GT,4WD/2500T,86400,,241508,687-61J-CB-qq-e-f1-1124,687-61J-CB-qq-e-d-1124,4996338077882,687 61J CB,CUSCO,STREET A,,7k(8・9)/6k(5・7)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-55～-30/-77～-25,-50～-30/-55～-25,-40/-40,65/65,250/250,全長固定式/全長固定式,赤,e-con2対応(00B 60J 1012)<br>オプションをご希望の場合、事前にお問合せください,,120000,99600
ダイハツ,アルティス,ACV40N,2006/1～2010/2,Gリミテッドエディション,FF/2400,95760,,241580,956-61J-CB-qq-e-f1-302,956-61J-CB-qq-e-d-302,4996338037282,956 61J CB,CUSCO,STREET A,,6k(7・8)/4k(5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-55～-35/-110～-35,-55～-35/-60～-35,-50/-50,73/73,250/250,全長固定式/全長固定式,赤,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,133000,105500
ダイハツ,アルティスハイブリッド,AVV50N,2012/5～2017/7,ハイブリッドGパッケージ,FF/2500,95760,,241977,956-61J-CB-qq-e-f1-303,956-61J-CB-qq-e-d-303,4996338037282,956 61J CB,CUSCO,STREET A,,6k(7・8)/4k(5・6)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-55～-25/-105～-25,-45～-25/-55～-25,-35/-45,73/73,250/250,全長固定式/全長固定式,赤,e-con2対応(00B 60J 1414)<br>オプションをご希望の場合、事前にお問合せください,,133000,105500
ダイハツ,クー,M401S/M402S,2006/5～2013/1,CL/CS/CX,FF/1300・1500<br>フロントスタビリンクがショックに取り付けられている車両は適合不可,86400,,241322,921-62J-CBF-qq-e-f1-18,921-62J-CBF-qq-e-d-18,4996338076700,921 62J CBF,CUSCO,STREET A,,4k(5・6)/2.7k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/14,対応/非対応,-90～-5/-60～-35,-60～-30/-60～-35,-45/-45,65/専用形状,250/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,120000,96600
ダイハツ,コペンローブ,LA400K,2014/6～,,FF/660T,88560,,241285,776-62J-CB-qq-e-f1-1386,776-62J-CB-qq-e-d-1386,4996338070319,776 62J CB,CUSCO,STREET A,,4k(5)/2.4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-28～0/-18～0,-25～-5/-15～-5,-15/-15,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,123000,98700
ダイハツ,タント/タントカスタム,L375S,2007/12～2013/1,RS,FF/660・660T,88560,,241764,780-62J-CB-qq-e-f1-1186,780-62J-CB-qq-e-d-1186,4996338077929,780 62J CB,CUSCO,STREET A,,4k(5・6)/2.4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-95～-40/-55～-30,-70～-50/-55～-30,-60/-50,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,123000,98700
ダイハツ,タント/タントカスタム,LA600S,2013/10～,L/L SA/X SA/G/G SA/RS/RS SA,FF/660・660T,88560,,241940,779-62J-CB-qq-e-f1-1380,779-62J-CB-qq-e-d-1380,4996338077912,779 62J CB,CUSCO,STREET A,,3.5k(4)/2.4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-80～-40/-75～-45,-60～-40/-70～-45,-45/-50,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,123000,98700
ダイハツ,タントエグゼ/タントエグゼカスタム,L455S,2009/12～2014/10,X/G/RS,FF/660・660T,88560,,241769,780-62J-CB-qq-e-f1-1383,780-62J-CB-qq-e-d-1383,4996338077929,780 62J CB,CUSCO,STREET A,,4k(5・6)/2.4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,,,,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,123000,98700
ダイハツ,ミラ,L275S,2006/12～,L/X/RS,FF/660・660T,88560,,241287,780-62J-CB-qq-e-f1-1158,780-62J-CB-qq-e-d-1158,4996338077929,780 62J CB,CUSCO,STREET A,,4k(5・6)/2.4k<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,40/40,対応/対応,-70～-10/-50～-15,-45～-25/-45～-15,-40/-35,65/専用形状,200/専用形状,全長固定式/ネジスペーサー,青,e-con2非対応<br>オプションをご希望の場合、事前にお問合せください,,123000,98700
