自動車メーカー,車種,型式,年式,エンジン,ミッション,標準デフ,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,JANコード,メーカー品番,メーカー名,商品名,商品,取付位置,備考,注意事項,定価
ホンダ,S2000,AP1/AP2,1999/04～2009/09,F20C/F22C,MT,トルセン,,1WAY,124080,,299526,LSD-380-S-qq-e-f1-5513,4996338008039,LSD 380 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
ホンダ,インテグラ,DC2/DB8,1993/05～2001/07,B18C,MT,ヘリカル,ビスカス車装着不可,1WAY,124080,,302006,LSD-328-S-qq-e-f1-5395,4996338019967,LSD 328 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,フロント,付属パーツ:スピードメータードリブンギア<br>カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
ホンダ,インテグラタイプR,DC2/DB8,1995/10～2001/07,B18C,MT,ヘリカル,,1WAY,124080,,296530,LSD-328-S-qq-e-f1-5374,4996338019967,LSD 328 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,フロント,付属パーツ:スピードメータードリブンギア<br>カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
ホンダ,シビックタイプR,EK9,1997/08～2000/09,B16B,MT,ヘリカル,,1WAY,124080,,301009,LSD-328-S-qq-e-f1-5512,4996338019967,LSD 328 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,フロント,付属パーツ:スピードメータードリブンギア<br>カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
ホンダ,フィット,GE8,2010/10～2013/09,L15A,6MT,オープンデフ,グレードRSのみ適合,1WAY,124080,,301022,LSD-387-S-qq-e-f1-5515,4996338004963,LSD 387 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
ホンダ,フィット,GK5,2013/09～,L15B,6MT,オープンデフ,グレードRSのみ適合,1WAY,124080,,301021,LSD-387-S-qq-e-f1-5397,4996338004963,LSD 387 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,フロント,カム角度ON側:35°(25/45/55/65)/OFF側:35°(0/15/25/45/55/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
マツダ,RX-7,FD3S,1991/12～2002/08,13B-REW,MT/AT,トルセン,,1WAY,132880,,297771,LSD-165-S-qq-e-f1-5504,4996338019745,LSD 165 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
マツダ,RX-8,SE3P,2003/04～2013/04,13B-MSP,MT/AT,オープンデフ/トルセン,,1WAY,132880,,298759,LSD-165-S-qq-e-f1-5597,4996338019745,LSD 165 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,151000
マツダ,ロードスター,NCEC,2005/08～2015/05,LF-VE,MT/AT,オープンデフ/トルセン,,1WAY,124080,,296551,LSD-428-S-qq-e-f1-5447,4996338008053,LSD 428 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
三菱,ギャランフォルティス,CY4A,2008/07～2015/04,4B11T,SST,機械式,ラリーアート<br>AYC無し車用,1WAY,124080,,301193,LSD-141-S-qq-e-f1-5412,4996338019905,LSD 141 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
三菱,ランサーエボリューションIX,CT9A,2005/03～2006/07,4G63T,MT,機械式,MR含む<br>AYC無し車用,1WAY,124080,,301194,LSD-141-S-qq-e-f1-5485,4996338019905,LSD 141 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
三菱,ランサーエボリューションVII,CT9A,2001/02～2003/01,4G63T,MT,機械式,AYC無し車用,1WAY,124080,,301650,LSD-141-S-qq-e-f1-5588,4996338019905,LSD 141 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
三菱,ランサーエボリューションVIII,CT9A,2003/01～2004/01,4G63T,MT,機械式,MR含む<br>AYC無し車用,1WAY,124080,,297171,LSD-141-S-qq-e-f1-5589,4996338019905,LSD 141 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
三菱,ランサーエボリューションX,CZ4A,2007/10～2015/09,4B11,MT,機械式,AYC無し車用,1WAY,124080,,298678,LSD-141-S-qq-e-f1-5463,4996338019905,LSD 141 S,CUSCO,プロ・アジャストLSD type-MZ 1WAY,プロアジャストLSD type-MZ,リア,カム角度ON側:55°(25/35/45/65)/OFF側:55°(0/15/25/35/45/65)<br>カム角度変更をご希望の場合は、必ずご注文時にご希望のカム角度をお知らせください,,141000
