自動車メーカー,車種,型式,駆動方式,排気量,年式,備考,セット内容,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,ダウン量,バネレート,マッチンググレード,定価,入り送料,SET価格,,取付特記事項
AUDI,A1スポーツバック,8XCHZ,FF,1000 TB,27/6～,,1台分,30070,,151121,AU102TD-qq-e-420,AU102TD-qq-e-d-420,4511969402089,AU102TD,RS-R,Ti2000 DOWN,30～25/25～20,2.96/2.45,1.0TFSIスポーツ,48500,0,69100
AUDI,A1スポーツバック,8XCHZ,FF,1000 TB,27/6～,,フロント,21080,,157894,AU102TDF-qq-e-2,出さない,4511969402096,AU102TDF,RS-R,Ti2000 DOWN,30～25,2.96,1.0TFSIスポーツ,34000,1250,出さない
AUDI,A1スポーツバック,8XCHZ,FF,1000 TB,27/6～,,リア,12028,,164288,AU102TDR-qq-e-2,出さない,4511969402102,AU102TDR,RS-R,Ti2000 DOWN,25～20,2.45,1.0TFSIスポーツ,19400,1250,出さない
AUDI,A3,8VCXS,FF,1400 TB,25/9～,,1台分,30256,,151123,AU300TD-qq-e-421,出さない,4511969298484,AU300TD,RS-R,Ti2000 DOWN,20～15/25～20,2.82/3.47,スポーツバック 1.4TFSI,48800,0,出さない
AUDI,A3,8VCXS,FF,1400 TB,25/9～,,フロント,15500,,160138,AU300TDF-qq-e-5,出さない,4511969298491,AU300TDF,RS-R,Ti2000 DOWN,20～15,2.82,スポーツバック 1.4TFSI,25000,1250,出さない
AUDI,A3,8VCXS,FF,1400 TB,25/9～,,リア,17856,,166600,AU300TDR-qq-e-5,出さない,4511969298507,AU300TDR,RS-R,Ti2000 DOWN,25～20,3.47,スポーツバック 1.4TFSI,28800,1250,出さない
AUDI,A3セダン,8VCXSL,FF,1400 TB,26/1～,,1台分,30256,,157896,AU300TD-qq-e-422,出さない,4511969298484,AU300TD,RS-R,Ti2000 DOWN,20～15/25～20,2.82/3.47,1.4TFSI,48800,0,出さない
AUDI,A3セダン,8VCXSL,FF,1400 TB,26/1～,,フロント,15500,,151124,AU300TDF-qq-e-16265,出さない,4511969298491,AU300TDF,RS-R,Ti2000 DOWN,20～15,2.82,1.4TFSI,25000,1250,出さない
AUDI,A3セダン,8VCXSL,FF,1400 TB,26/1～,,リア,17856,,151125,AU300TDR-qq-e-16266,出さない,4511969298507,AU300TDR,RS-R,Ti2000 DOWN,25～20,3.47,1.4TFSI,28800,1250,出さない
AUDI,A4,8KCDN,FF,2000 TB,23/4～,,1台分,29636,,160886,AU420TD-qq-e-16267,AU420TD-qq-e-d-16267,4511969288676,AU420TD,RS-R,Ti2000 DOWN,20～15/15～10,4.85/3.60,2.0TFSI Sライン パッケージ,47800,0,68700
