自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,SET価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,掛け,販売価格
日産,テラノ,WBYD21/LBYD21,H1/10～H7/9,2700～,ワゴン・リアドラム,フロント,11100,,278276,SSY-EP087-qq-e-489k,SSY-EP087-qq-e-d-489k,4515693310870,EP087,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,テラノ,WBYD21/LBYD21/LHYD21,S63/11～H7/9,2700～,ターボ・ワゴン・4輪ディスク,フロント,11100,,278423,SSY-EP155-qq-e-9681k,SSY-EP155-qq-e-d-9681k,4515693311556,EP155,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,テラノ,WBYD21/LBYD21/LHYD21,S63/11～H7/9,2700～,ターボ・ワゴン・4輪ディスク,リア,11100,,278838,SSY-EP244-qq-e-6238k,SSY-EP244-qq-e-d-6238k,4515693312447,EP244,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,テラノ,WHYD21,S63/11～H7/9,3000～,ワゴン・4輪ディスク,フロント,11100,,278424,SSY-EP155-qq-e-9682k,SSY-EP155-qq-e-d-9682k,4515693311556,EP155,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,テラノ,WHYD21,S63/11～H7/9,3000～,ワゴン・4輪ディスク,リア,11100,,278839,SSY-EP244-qq-e-6239k,SSY-EP244-qq-e-d-6239k,4515693312447,EP244,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,テラノレグラス,JRR50/JLR50,H8/8～H11/2,3200～3300,リアドラム,フロント,11100,,279546,SSY-EP346-qq-e-492k,SSY-EP346-qq-e-d-492k,4515693313468,EP346,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,テラノレグラス,JTR50/JLR50,H11/2～H14/8,3000～3300,リアドラム,フロント,11100,,279547,SSY-EP346-qq-e-493k,SSY-EP346-qq-e-d-493k,4515693313468,EP346,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,ノート,E11/NE11,H17/1～H24/9,1500,,フロント,11100,,280134,SSY-EP407-qq-e-494k,SSY-EP407-qq-e-d-494k,4515693314076,EP407,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,ノート,E12/NE12,H24/9～,1200,,フロント,11100,,280603,SSY-EP474-qq-e-495k,SSY-EP474-qq-e-d-495k,4515693314748,EP474,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
日産,ノートニスモS,E12,H26/10～,1600,,フロント,11100,,280604,SSY-EP474-qq-e-496k,SSY-EP474-qq-e-d-496k,4515693314748,EP474,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
