自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,SET価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,販売価格
ダイハツ,ムーヴ,LA100S/LA111S,H23/5～,660,NA・13インチ装着車,フロント,13800,,272705,MX72k-EP415-qq-e-4613k,MX72k-EP415-qq-e-d-4613k,4515693836738,EP415,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,年式、グレード、仕様にて細かく適合が分類されますので形状確認を行って下さい,,16000,11786
ダイハツ,ムーヴコンテ,L575S/L585S,H20/8～H29/3,660,リアドラム・NA車(要形状確認),フロント,13800,,272667,MX72k-EP364-qq-e-4617k,MX72k-EP364-qq-e-d-4617k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
ダイハツ,ムーヴコンテ,L575S/L585S,H20/8～H29/3,660,リアドラム・ターボ車(要形状確認),フロント,13800,,272708,MX72k-EP415-qq-e-4618k,MX72k-EP415-qq-e-d-4618k,4515693836738,EP415,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
ダイハツ,ムーヴラテ,L550S,H16/8～H17/5,660,L ABS装着車/X/XLim/RS/RSLim,フロント,13800,,272669,MX72k-EP364-qq-e-4620k,MX72k-EP364-qq-e-d-4620k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
ダイハツ,ムーヴラテ,L550S,H16/8～H21/4,660,L ABS非装着車,フロント,13800,,272668,MX72k-EP364-qq-e-4619k,MX72k-EP364-qq-e-d-4619k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
ダイハツ,ムーヴラテ,L550S,H17/5～H21/4,660,L ABS装着車/X/XLim/RS/クール/クールターボ,フロント,13800,,272671,MX72k-EP364-qq-e-4622k,MX72k-EP364-qq-e-d-4622k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
ダイハツ,ムーヴラテ,L560S,H16/8～H17/5,660,4WD全車,フロント,13800,,272670,MX72k-EP364-qq-e-4621k,MX72k-EP364-qq-e-d-4621k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
ダイハツ,ムーヴラテ,L560S,H17/5～H21/4,660,RS・4WD,フロント,13800,,272709,MX72k-EP415-qq-e-4624k,MX72k-EP415-qq-e-d-4624k,4515693836738,EP415,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
ダイハツ,ムーヴラテ,LS560S,H17/5～H21/4,660,4WD X/Xリミテッド/クール,フロント,13800,,272672,MX72k-EP364-qq-e-4623k,MX72k-EP364-qq-e-d-4623k,4515693834956,EP364,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
トヨタ,bB,QNC20/QNC21/QNC25,H17/2～H28/8,1300～1500,,フロント,13800,,272675,MX72k-EP387-qq-e-4409k,MX72k-EP387-qq-e-d-4409k,4515693835564,EP387,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
トヨタ,デュエット,M100A/M110A,H13/12～H16/5,1000,リアドラム,フロント,13800,,272619,MX72k-EP363-qq-e-4405k,MX72k-EP363-qq-e-d-4405k,4515693834925,EP363,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
トヨタ,デュエット,M100A/M110A/M101A/M111A,H10/9～H13/12,1000～1300,リアドラム,フロント,13800,,272618,MX72k-EP363-qq-e-4404k,MX72k-EP363-qq-e-d-4404k,4515693834925,EP363,ENDLESS,ブレーキパッド,MX72k,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,16000,11786
