メーカー,車種,型式,エンジン,年式,備考,SET価格,Camp価格,税抜定価,工賃,品番
トヨタ,ハイエース,KDH201V,1KD-FTV,10/07-17/11,MT加速認証適合外,40000,39500,50000,5000,31021-AT002
トヨタ,ハイエース,KDH201V,1KD-FTV,10/07-17/11,MT加速認証適合外,40000,39500,50000,5000,31021-AT002
トヨタ,ハイラックス,GUN125,2GD-FTV,17/09-20/07,3DF-GUN12取付不可,73600,73100,98000,5000,31021-AT005
トヨタ,ハリアー,AVU65W,2AR-2JM,13/12-17/06,,80600,80100,108000,5000,32018-AT044
トヨタ,ハリアー,AVU65W,2AR-FXE,13/12-17/06,,80600,80100,108000,5000,32018-AT044
トヨタ,ハリアー,ZSU60W,3ZR-FAE,13/12-17/06,,73600,73100,98000,5000,32018-AT059
トヨタ,ハリアー GR SPORT,ASU65W,8AR-FTS,17/09-20/05,,47000,46500,60000,5000,31021-AT004
トヨタ,プリウス,ZVW50,2ZR-FXE(2ZR-1NM),15/12-,,73600,73100,98000,5000,32018-AT053
トヨタ,プリウス,ZVW51,2ZR-FXE(2ZR-1NM),15/12-,,73600,73100,98000,5000,32018-AT053
トヨタ,プリウス,ZVW55,2ZR-FXE(2ZR-1NM),15/12-,4WD専用,73600,73100,98000,5000,32018-AT056
トヨタ,マークX,GRX130,4GR-FSE,12/08-16/10,,89000,88500,120000,5000,32018-AT052
トヨタ,マークX GRMN,GRX133,2GR-FSE,19/03-,GRMN専用,101600,101100,138000,5000,32018-AT062
トヨタ,レジアスエース,KDH201V,1KD-FTV,10/07-17/11,MT加速認証適合外,40000,39500,50000,5000,31021-AT002
トヨタ,レジアスエース,KDH201V,1KD-FTV,10/07-17/11,MT加速認証適合外,40000,39500,50000,5000,31021-AT002
トヨタ,レジアスエース,KDH206V,1KD-FTV,10/07-17/11,MT加速認証適合外,40000,39500,50000,5000,31021-AT002
日産,GT-R,R35,VR38DETT,07/12-,16/7以降の車両については「ピュアエディション」のみ適合、10/11以降の車両（11/12spec）に装着の場合、純正アルミ導風板の加工が必要です、4BA-R35適合外,218000,216500,290000,15000,31021-AN010
日産,X-TRAIL,(N)T32,MR20DD,13/12-,リア右側のアンダーカバー要取り外し,80600,80100,108000,5000,32018-AN026
日産,X-TRAIL,H(N)T32,MR20DD-RM31,15/05-,2017/6以降の4WD適合外。リア右側のアンダーカバー要取り外し,80600,80100,108000,5000,32018-AN026
日産,ジューク,NF15,MR16DDT,10/11-14/06,4WD・ターボ用。「ジュークNISMO」取付不可,55400,54900,72000,5000,31021-AN011
日産,スカイライン,HNV37,VQ35HR,14/02-,MC後未確認,80600,80100,108000,5000,32018-AN027
日産,スカイライン,HV37,VQ35HR,14/02-,MC後未確認,80600,80100,108000,5000,32018-AN027
日産,スカイライン,KV36,VQ37VHR,08/12-,,70000,69300,90000,7000,32018-AN019
日産,スカイライン,PV36,VQ35HR,06/11-08/11,,70000,69300,90000,7000,32018-AN019
日産,スカイライン,V36,VQ25HR,06/11-,4WD未確認,70000,69300,90000,7000,32018-AN019
日産,スカイライン,ZV37,274930,14/06-14/10,,80600,80100,108000,5000,32018-AN027
日産,セレナ,FC26,MR20DD,10/11-,2WD・グレード「ハイウェイスター」用,50500,50000,65000,5000,32018-AN025
日産,セレナ,GFC27,MR20DD-SM24,10/11-16/07,オーテック取付不可、nismo未確認,50500,50000,65000,5000,32018-AN028
日産,セレナ,HFC26,MR20DD-SM23,12/08-,2WD・グレード「ハイウェイスター S-HYBRID」用,50500,50000,65000,5000,32018-AN025
日産,フーガ,P(N)Y50,VQ35DE,04/10-07/11,"07/12～取り付け不可,4WD(VQ35)取付可",68000,67500,90000,5000,32018-AN008
ホンダ,S660,JW5,S07A(TURBO),15/04-,20/1以降取付未確認,66600,66100,88000,5000,31021-AH001
ホンダ,ヴェゼル,RU1,L15B,13/12-,4WD取付不可 純正リアロアガーニッシュ・リアエアロバンパー取付不可,45600,45100,58000,5000,32018-AH031
ホンダ,ヴェゼル,RU3,LEB-H1,13/12-,ハイブリッド、4WD取付不可 純正リアロアガーニッシュ・リアエアロバンパー取付不可,45600,45100,58000,5000,32018-AH031
ホンダ,オデッセイ,RB1,K24A,03/10-08/09,アブソルート専用・FF用・モデューロ製リアロアスカート&DOOV製リアロアスカート可,106500,106000,145000,5000,32018-AH010
ホンダ,オデッセイ,RB3,K24A,08/10-13/10,標準車専用、「Mエアロパッケージ」「Mファインスピリットエアロパッケージ」(09/09～）取付可,99500,99000,135000,5000,32018-AH025
ホンダ,オデッセイ,RC1,K24W,13/11-,アブソルート専用。4WD不可,100200,99700,136000,5000,32018-AH030
ホンダ,シビック,FK7,L15C,17/09-,アブソルート専用、FF要,87600,87100,118000,5000,31021-AH004
ホンダ,シビックタイプR,FK8,K20C,17/09-20/09,ハッチバック専用,96000,95500,130000,5000,31021-BH003
ホンダ,ステップワゴン,RK5,R20A,09/10-12/03,「SPADA」用・モデューロ製リアロアスカート装着車未確認。12/04MCモデル適合外,61000,60500,80000,5000,32018-AH026
ホンダ,ステップワゴン,RP3,L15B,15/04-,,59600,59100,78000,5000,31021-AH002
ホンダ,ステップワゴン,RP5,LFA-H4,17/09-,HV専用,59600,59100,78000,5000,31021-AH002
マツダ,MPV,LY3P,L3-VDT,06/02-10/06,グレード「23T」用・4WD取付可・マツダスピード製リアアンダースポイラー装着車未確認,66600,66100,88000,5000,31021-AZ005
マツダ,MPV,LY3P,L3-VE,06/02-,グレード「23C Sporty Package」「23C」「23F」「23S」用・4WD取付可・マツダスピード製リアアンダースポイラー装着車未確認・2010年4月以降生産の5AT車適合外,66600,66100,88000,5000,31021-AZ005
マツダ,アテンザ,GH5FW,L5-VE,08/01-12/10,スポーツワゴン　「25S」「25Z」「25EX」可,73600,73100,98000,5000,32018-AZ008
マツダ,アテンザスポーツ,GH5AS,L5-VE,08/01-12/10,,73600,73100,98000,5000,32018-AZ008
マツダ,アテンザスポーツ,GH5FS,L5-VE,08/01-12/10,,73600,73100,98000,5000,32018-AZ008
マツダ,アテンザスポーツワゴン,GH5AW,L5-VE,08/01-12/10,グレード「25C」「25S」用,73600,73100,98000,5000,32018-AZ008
マツダ,アテンザスポーツワゴン,GH5FW,L5-VE,08/01-12/10,6AT/6MT適合可,73600,73100,98000,5000,32018-AZ008
マツダ,マツダスピード アクセラ,BK3P,L3-VDT,06/06-09/05,純正マフラー取り外しの際、純正マフラーの切断もしくはリアメンバーの脱着が必要。,64500,64000,85000,5000,31021-AZ002
マツダ,マツダスピード アクセラ,BL3FW,L3-VDT,09/06-,,85500,85000,115000,5000,31021-AZ004
マツダ,ロードスター,NCEC,LF-VE,05/08-,純正リアアンダースカート装着車取付不可。2010年4月以降生産の6MT車適合外。社外ロアブレースバー干渉のおそれ有り,71500,71000,95000,5000,32018-AZ009
マツダ,ロードスター,ND5RC,P5-VP,15/05-,MAZDA SPEEDリアアンダースカート装着者取付不可、18/6(DBA-ND5RC)のI-ELOOP+I-stop装着（アイドリングストップ）の6MT車適合外、18/07以降のAT車適合外,52600,52100,68000,5000,32018-AZ010
マツダ,ロードスター,ND5RC,P5-VPR,15/05-,MAZDA SPEEDリアアンダースカート装着者取付不可、18/6(DBA-ND5RC)のI-ELOOP+I-stop装着（アイドリングストップ）の6MT車適合外、18/07以降のAT車適合外,52600,52100,68000,5000,32018-AZ010
マツダ,ロードスターRF,NDERC,PE-VPR(RS),16/12-18/06,純正リアアンダースカート装着車取付不可、5BA-NDERC適合外,52600,52100,68000,5000,32018-AZ010
三菱,RVR,GA3W,4B10,10/02-12/09,,57360,56860,74800,5000,32018-AM009
三菱,RVR,GA4W,4J10,11/11-14/03,アイドリングストップ付車、2WD・4WDともに可,57360,56860,74800,5000,32018-AM009
三菱,アウトランダー,GF8W,4J12,12/10-,,53300,52800,69000,5000,32018-AM010
三菱,エクリプス クロス,GL1W,4B40,18/03-19/11,純正リア牽引フック要取り外し、5BA-GK1W適合外,61000,60500,80000,5000,31021-AM008
三菱,ギャラン フォルティス,CY4A,4B11(TURBO),08/07-15/04,グレード「RALLIART」用、メイン＋中間パイプ,80600,80100,108000,5000,31021-AM007
三菱,デリカ　D:5,CV2W,4J11,11/12-,ROADEST用、アイドリングストップ付車（2WD),67300,66800,89000,5000,32018-AM008
三菱,デリカ　D:5,CV2W,4J11,11/12-,標準バンパー用、アイドリングストップ付車（2WD）,67300,66800,89000,5000,32018-AM007
三菱,デリカ　D:5,CV4W,4B11,10/01-11/11,ROADEST用、2WD・4WD全グレード取付可,67300,66800,89000,5000,32018-AM008
三菱,デリカ　D:5,CV4W,4B11,10/01-11/11,標準バンパー用、2WD・4WD全グレード取付可。リアアンダーガードバー装着車未確認,67300,66800,89000,5000,32018-AM007
三菱,デリカ　D:5,CV5W,4B12,07/01-,標準バンパー用、2WD・4WD全グレード取付可。リアアンダーガードバー装着車未確認,67300,66800,89000,5000,32018-AM007
三菱,デリカ　D:5,CV5W,4B12,07/05-,ROADEST用、2WD・4WD全グレード取付可,67300,66800,89000,5000,32018-AM008
三菱,ランサーエボリューション,CZ4A(X),4B11(TURBO),07/10-,センターパイプセット・5MT/SSTともに適合,87500,86800,115000,7000,31021-AM006
三菱,ランサーエボリューション,CZ4A(X),4B11(TURBO),07/10-,メインのみ・グレード「GSR」「RS」用、5MT/SSTともに取付可（音量 左:86 右:86）、M/C後（300PS）取付可（音量 左右85dB）,66500,65800,85000,7000,31021-AM004
レクサス,CT200h,ZWA10,2ZR-FXE(2ZR-3JM),11/01-,,96000,95500,130000,5000,32018-AT038
