自動車メーカー,車種,型式,年式,適合詳細,備考,注意事項,対応純正品番,タイプ,販売価格,Camp価格,商品ID,物販コード,メーカー名,商品名,取付位置
スバル,レヴォーグ,VM4/VMG,14/06～,全グレード,参考DENSO品番:DCC5005,,X7288FG000/SAA3330005,カーボンタイプ,1318,,259057,30080202001-qq-161,STRIKE,エアコンフィルター カーボンタイプ
スバル,レガシィB4,BL5/BL9/BLE/BL5改,03/06～09/05,全グレード,参考DENSO品番:DCC1003,,X7288AG000,カーボンタイプ,1304,,258777,30080209001-qq-204,STRIKE,エアコンフィルター カーボンタイプ
スバル,レガシィB4,BM9/BMG/BMM,09/05～,全グレード,参考DENSO品番:DCC1009,,SAA3330006/X7288AJ000,カーボンタイプ,1344,,258814,30080209003-qq-206,STRIKE,エアコンフィルター カーボンタイプ
スバル,レガシィB4,BM9/BMG/BMM,09/05～,全グレード,参考DENSO品番:DCC1009,,X7288AJ000/SAA3330006,カーボンタイプ PM2.5cut ver.,1530,,258960,30080309002-qq-102,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スバル,レガシィアウトバック,BP9/BPE/BPH,03/10～09/05,全グレード,参考DENSO品番:DCC1003,,X7288AG000,カーボンタイプ,1304,,258778,30080209001-qq-207,STRIKE,エアコンフィルター カーボンタイプ
スバル,レガシィアウトバック,BR9/BRF/BRM,09/05～,全グレード,参考DENSO品番:DCC1009,,SAA3330006/X7288AJ000,カーボンタイプ,1344,,258815,30080209003-qq-208,STRIKE,エアコンフィルター カーボンタイプ
スバル,レガシィアウトバック,BR9/BRF/BRM,09/05～,全グレード,参考DENSO品番:DCC1009,,X7288AJ000/SAA3330006,カーボンタイプ PM2.5cut ver.,1530,,258961,30080309002-qq-103,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
スバル,レガシィツーリングワゴン,BP5/BP9/BPE,03/05～09/05,全グレード,参考DENSO品番:DCC1003,,X7288AG000,カーボンタイプ,1304,,258779,30080209001-qq-210,STRIKE,エアコンフィルター カーボンタイプ
スバル,レガシィツーリングワゴン,BR9/BRG/BRM,09/05～,全グレード,参考DENSO品番:DCC1009,,SAA3330006/X7288AJ000,カーボンタイプ,1344,,259146,30080209003-qq-211,STRIKE,エアコンフィルター カーボンタイプ
スバル,レガシィツーリングワゴン,BR9/BRG/BRM,09/05～,全グレード,参考DENSO品番:DCC1009,,X7288AJ000/SAA3330006,カーボンタイプ PM2.5cut ver.,1530,,259203,30080309002-qq-104,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,MAX,L950/L952/L960/L962,01/11～05/12,全グレード,参考DENSO品番:DCC6001,フィルター未装着車はカバーが必要となる場合あり,08975-K9003,カーボンタイプ,1237,,258616,30080201002-qq-162,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,MAX,L950/L952/L960/L962,,,,,88568-97201/08975-K9003,,1258,,258513,30080101002-qq-146,STRIKE,エアコンフィルター
ダイハツ,YRV,M200/M201/M211,00/08～05/07,全グレード,参考DENSO品番:DCC6001,,88568-97201,カーボンタイプ,1237,,258617,30080201002-qq-163,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,YRV,M200/M201/M211,,,,,88568-97201/08975-K9003,,1258,,258514,30080101002-qq-147,STRIKE,エアコンフィルター
ダイハツ,アトレー,S220/S230,99/01～05/05,全グレード,参考DENSO品番:DCC6001,フィルター未装着車はカバーが必要となる場合あり,88568-97201/08975-K9003,カーボンタイプ,1237,,258618,30080201002-qq-164,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,アトレー,S220/S230,,,,,88568-97201/08975-K9003,,1258,,258509,30080101002-qq-137,STRIKE,エアコンフィルター
ダイハツ,アルティス,ACV30N/ACV35N,01/09～06/01,全グレード,参考DENSO品番:DCC1003,,87139-33010,カーボンタイプ,1304,,258776,30080209001-qq-1,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,アルティス,ACV40N/ACV45N,06/01～10/02,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ,1344,,258813,30080209003-qq-2,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,アルティス,ACV40N/ACV45N,06/01～10/02,全グレード,参考DENSO品番:DCC1009,,87139-52040,カーボンタイプ PM2.5cut ver.,1530,,258959,30080309002-qq-1,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,アルティス,SXV20/SXV25,00/03～01/09,全グレード,参考DENSO品番:DCC1005,,88880-33060,カーボンタイプ,1558,,259162,30080209005-qq-165,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,アルティスハイブリッド,AVV50N,12/05～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ,1344,,259155,30080209003-qq-3,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,アルティスハイブリッド,AVV50N,12/05～,全グレード,参考DENSO品番:DCC1009,,87139-30040,カーボンタイプ PM2.5cut ver.,1530,,259211,30080309002-qq-2,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,エッセ,L235S/L245S,05/12～11/09,全グレード,参考DENSO品番:DCC7003,フィルター未装着車はフレーム又はトレイが必要となる場合あり,88568-B2020,カーボンタイプ,1510,,258760,30080208003-qq-4,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,エッセ,L235S/L245S,05/12～11/09,全グレード,参考DENSO品番:DCC7003,フィルター未装着車はフレーム又はトレイが必要となる場合あり,88568-B2020,カーボンタイプ PM2.5cut ver.,1679,,258930,30080308001-qq-3,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
ダイハツ,オプティ,L800/L802/L810,98/11～02/08,全グレード,参考DENSO品番:DCC6001,フィルター未装着車はカバーが必要となる場合あり,88568-97201/08975-K9003,カーボンタイプ,1237,,259051,30080201002-qq-166,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,オプティ,L800/L802/L810,,,,,88568-97201/08975-K9003,,1258,,259007,30080101002-qq-138,STRIKE,エアコンフィルター
ダイハツ,クー,M401S/M402S/M411S,06/05～13/02,全グレード,参考DENSO品番:DCC1009,,87139-B1020,カーボンタイプ,1344,,258844,30080209003-qq-5,STRIKE,エアコンフィルター カーボンタイプ
ダイハツ,クー,M401S/M402S/M411S,06/05～13/02,全グレード,参考DENSO品番:DCC1009,,87139-B1020,カーボンタイプ PM2.5cut ver.,1530,,259213,30080309002-qq-4,STRIKE,エアコンフィルター カーボンタイプ PM2.5cut ver.
