自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
AUDI,A3,8V,2012～,E-トロン/カブリオレ/S3/RS3/Sラインを除く<br>純正ストラット径がφ55mmの車両<br>リヤサスペンション:マルチリンク車,96000,,291015,KONI-SP-qq-e-i-899k,出さない,フロント:8741-1572×2<br>リア:8240-1297×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,120000,出さない,出さない,,
AUDI,A3 カブリオレ,8P,2008/01～2012,フロント:φ55mmの純正ストラット車,97600,,290776,KONI-SP-qq-e-i-893k,KONI-SP-qq-e-d-i-893k,フロント:8710-1431×2<br>リア:8040-1371×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,122000,125400,137600,,
AUDI,A3 カブリオレ,8V,2014～,クワトロ/スポーツサスペンション含む<br>S3/Sラインを除く<br>純正ストラット径がφ55mmの車両<br>リヤサスペンション:マルチリンク車,99200,,291251,KONI-SP-qq-e-i-902k,出さない,フロント:8741-1572×2<br>リア:8240-1306×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,124000,出さない,出さない,,
AUDI,A3 カブリオレ,8V,2014～,スポーツサスペンション含む<br>S3/Sラインを除く<br>純正ストラット径がφ50mmの車両<br>リヤサスペンション:マルチリンク車,99200,,291016,KONI-SP-qq-e-i-901k,出さない,フロント:8741-1571×2<br>リア:8240-1306×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,124000,出さない,出さない,,
AUDI,A3 クワトロ,8L,1998～1999,シャーシNo:8L-X-140000までの車両,98400,,291013,KONI-SP-qq-e-i-879k,出さない,フロント:8710-1337×2<br>リア:80-2806×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,123000,出さない,出さない,,
AUDI,A3 クワトロ,8L,2000～2003,シャーシNo:8L-X-140001からの車両,100000,,291471,KONI-SP-qq-e-i-881k,出さない,フロント:8710-1385×2<br>リア:80-2806×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,125000,出さない,出さない,,
AUDI,A3 クワトロ,8P,2003/05～2012,3.2 V6及びSライン車を除く<br>フロント:φ55mmの純正ストラット車,88800,,290773,KONI-SP-qq-e-i-888k,KONI-SP-qq-e-d-i-888k,フロント:8710-1431×2<br>リア:80-2859×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,111000,117700,128800,,
AUDI,A3 クワトロ,8V,2012～,シャーシNo:8L-X-140000までの車両,96000,,291473,KONI-SP-qq-e-i-898k,出さない,フロント:8741-1572×2<br>リア:8240-1296×2,KONI,SPORT,1台分,外部/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,120000,出さない,出さない,,
AUDI,A4,B6/B7/8E/8H,2000/11～2007,Sライン用(カブリオレ含む),80800,,291474,KONI-SP-qq-e-i-915k,出さない,フロント:8240-1185×2<br>リア:8040-1283×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,101000,出さない,出さない,,
AUDI,A4,B8/8K,2008/03～,Sラインサスペンション車専用<br>オールロード除く,78400,,291476,KONI-SP-qq-e-i-922k,出さない,フロント:8240-1279×2<br>リア:8040-1402×2,KONI,SPORT,1台分,STD/STD,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,98000,出さない,出さない,,
