自動車メーカー,車種,主要型式,年式,適合詳細,販売価格,Camp,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,減衰力調整法(F/R),ダウン量(F/R),備考,注意事項,定価,セットCAMP,セット価格,,取付特記事項
BMW,3シリーズ,E90 セダン,05～12,Mスポーツ車を含む<br>Xモデルを除く,81600,,290565,KONI-AC-qq-e-i-198k,KONI-AC-qq-e-d-i-198k,フロント:8745-1014L/8745-1014R<br>リア:8245-1094×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,102000,106400,116600
BMW,3シリーズ,E90/E91/E92,05～12,セダン/ツーリング/クーペXi/Xd/Xドライブモデル<br>Mスポーツ車を含む,81600,,290569,KONI-AC-qq-e-i-214k,KONI-AC-qq-e-d-i-214k,フロント:8745-1234L/8745-1234R<br>リア:8245-1015×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,102000,106400,116600
BMW,3シリーズ,E91 ツーリング,06～12,Mスポーツ車を含む<br>Xモデルを除く,81600,,290566,KONI-AC-qq-e-i-202k,KONI-AC-qq-e-d-i-202k,フロント:8745-1014L/8745-1014R<br>リア:8245-1094×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,102000,106400,116600
BMW,3シリーズ,E92 クーペ,06～12,Mスポーツ車を含む<br>Xモデルを除く,81600,,290567,KONI-AC-qq-e-i-206k,KONI-AC-qq-e-d-i-206k,フロント:8745-1014L/8745-1014R<br>リア:8245-1094×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,102000,106400,116600
BMW,3シリーズ,E93 カブリオレ,07～12,Mスポーツ車を含む,81600,,290568,KONI-AC-qq-e-i-210k,KONI-AC-qq-e-d-i-210k,フロント:8745-1014L/8745-1014R<br>リア:8245-1094×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,102000,111400,121600
BMW,3シリーズ,F30 セダン,2011～,EDCを除く,89600,,290554,KONI-AC-qq-e-i-153k,KONI-AC-qq-e-d-i-153k,フロント:8745-1378L/8745-1378R<br>リア:8245-1319×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,113400,124600
BMW,3シリーズ,F30 セダン,2011～,M3を除く<br>Mスポーツ/xドライブ/EDCを除く,89600,,290552,KONI-AC-qq-e-i-147k,KONI-AC-qq-e-d-i-147k,フロント:8745-1318×2<br>リア:8245-1319×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,113400,124600
BMW,3シリーズ,F30 セダン,2011～,Mスポーツ用<br>M3を除く<br>xドライブ/EDCを除く,89600,,290553,KONI-AC-qq-e-i-149k,KONI-AC-qq-e-d-i-149k,フロント:8745-1356×2<br>リア:8245-1357×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,113400,124600
BMW,3シリーズ,F30 セダン,2011～,ハイブリッド330e<br>VDCを除く,89600,,290555,KONI-AC-qq-e-i-155k,KONI-AC-qq-e-d-i-155k,フロント:8745-1356×2<br>リア:8245-1357×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,113400,124600
BMW,3シリーズ,F30 ツーリング,2011～,M3を除く<br>Mスポーツ/xドライブ/EDCを除く,89600,,290556,KONI-AC-qq-e-i-157k,KONI-AC-qq-e-d-i-157k,フロント:8745-1318×2<br>リア:8245-1319×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,113400,124600
BMW,3シリーズ,F31 ツーリング,2012/02～,Xドライブ専用<br>EDCを除く,89600,,290558,KONI-AC-qq-e-i-161k,KONI-AC-qq-e-d-i-161k,フロント:8745-1378L/8745-1378R<br>リア:8245-1319×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,113400,124600
BMW,3シリーズ,F31 ツーリング,2012～,Mスポーツ用<br>M3を除く<br>xドライブ/EDCを除く,89600,,290557,KONI-AC-qq-e-i-159k,KONI-AC-qq-e-d-i-159k,フロント:8745-1356×2<br>リア:8245-1357×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,113400,124600
BMW,3シリーズ,F34,2012/02～,GT Xドライブ専用<br>EDCを除く,89600,,291095,KONI-AC-qq-e-i-167k,出さない,フロント:8745-1378L/8745-1378R<br>リア:8245-1319×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,出さない,出さない
BMW,3シリーズ,F34,2012～,GT Mスポーツ用<br>xドライブ/EDCを除く,89600,,290869,KONI-AC-qq-e-i-165k,出さない,フロント:8745-1356×2<br>リア:8245-1357×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,出さない,出さない
BMW,3シリーズ,F34,2012～,GT<br>Mスポーツ/xドライブ/EDCを除く,89600,,291329,KONI-AC-qq-e-i-163k,出さない,フロント:8745-1318×2<br>リア:8245-1319×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,出さない,出さない
BMW,4シリーズ,F32/F36 クーペ/グランクーペ,12/10～,Mスポーツ含む<br>xドライブ/EDC車除く,89600,,291330,KONI-AC-qq-e-i-216k,出さない,フロント:8745-1356×2<br>リア:8245-1357×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,112000,出さない,出さない
BMW,4シリーズ,F33 カブリオレ,13/04～,Mスポーツ含む<br>xドライブ/EDC車除く,91200,,290571,KONI-AC-qq-e-i-221k,KONI-AC-qq-e-d-i-221k,フロント:8745-1356×2<br>リア:8245-1385×2,KONI,ACTIVE,1台分,,,,欠品時は基本的に本国取り寄せとなるため、納期に1.5～2ヶ月程度かかる可能性が高くなります。,114000,114800,126200
