自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,送料,販売価格,工賃
スズキ,スイフト,ZC72S,10/09～17/01,RS リア:ディスク,フロント,26400,,175175,HD3714041-qq-e-742k,4547726538449,3714041,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,28000,600,22400,4000
スズキ,スイフト,ZC72S,10/09～17/01,RS リア:ディスク,リア,22400,,175216,HD3754020-qq-e-800k,4547726538456,3754020,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,スイフト,ZC83S,17/01～,RS/XL リア:ディスク,フロント,23200,,175204,HD3714093-qq-e-788k,4547726630075,3714093,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,24000,600,19200,4000
スズキ,スイフト,ZC83S,17/01～,RS/XL リア:ディスク,リア,20000,,175221,HD3754028-qq-e-805k,4547726630082,3754028,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,20000,600,16000,4000
スズキ,スイフト,ZD72S,10/09～17/01,,フロント,26400,,175177,HD3714041-qq-e-744k,4547726538449,3714041,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,28000,600,22400,4000
スズキ,スイフト,ZD72S,10/09～17/01,,リア,22400,,175218,HD3754020-qq-e-802k,4547726538456,3754020,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,スイフト,ZD83S,17/01～,XG リア:ドラム,フロント,23200,,175206,HD3714093-qq-e-790k,4547726630075,3714093,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,24000,600,19200,4000
スズキ,スイフト,ZD83S,17/01～,XL リア:ディスク,フロント,23200,,175205,HD3714093-qq-e-789k,4547726630075,3714093,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,24000,600,19200,4000
スズキ,スイフト,ZD83S,17/01～,XL リア:ディスク,リア,20000,,175222,HD3754028-qq-e-806k,4547726630082,3754028,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,20000,600,16000,4000
スズキ,スプラッシュ,XB32S,08/10～,,フロント,24800,,175180,HD3714061-qq-e-760k,4547726537473,3714061,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,26000,600,20800,4000
スズキ,スペーシア,MK32S/MK42S,13/03～17/12,NA・4WD<br>ベンチディスク,フロント,20800,,175163,HD3714033-qq-e-730k,4547726536803,3714033,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,21000,600,16800,4000
スズキ,スペーシア,MK32S/MK42S,13/03～17/12,NA・FF<br>ソリッドディスク,フロント,22400,,175116,HD3714027-qq-e-681k,4547726531990,3714027,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,スペーシア,MK32S/MK42S,13/03～17/12,ターボ ベンチディスク,フロント,20800,,175164,HD3714033-qq-e-731k,4547726536803,3714033,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,21000,600,16800,4000
スズキ,スペーシア,MK53S,17/12～,NA・FF<br>ソリッドディスク,フロント,19200,,175199,HD3714083-qq-e-783k,4547726539354,3714083,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,19000,600,15200,4000
スズキ,スペーシアカスタム,MK32S/MK42S,13/03～17/12,NA&ターボ,フロント,20800,,175165,HD3714033-qq-e-732k,4547726536803,3714033,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,21000,600,16800,4000
