自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
スズキ,スイフト,ZD83S,17/01～,XL リア:ディスク,リア,21400,,113360,375131,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,23000,18400,3000
スズキ,スプラッシュ,XB32S,08/10～,,フロント,23000,,82733,371039,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,セルボモード,CN21S,90/7～91/9,ABS付,フロント,23000,,105580,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,セルボモード,CN22S,91/8～95/9,NA 3ドア<br>車台No.→250000 ABS付,フロント,23000,,79633,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,セルボモード,CN22S,91/8～95/9,ターボ 3ドア<br>車台No.→250000 ABS付,フロント,23000,,105582,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,セルボモード,CN22S,91/8～95/9,ターボ 3ドア<br>車台No.250001→370000,フロント,23000,,99022,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,セルボモード,CN22S,91/8～95/9,ターボ 5ドア<br>車台No.700001→870000,フロント,23000,,112290,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,セルボモード,CN22S,95/10～97/4,ターボ 3ドア<br>車台No.370001→420000,フロント,23000,,105583,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,セルボモード,CN22S,95/10～97/4,ターボ 5ドア<br>車台No.870001→920000,フロント,23000,,118466,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
スズキ,セルボモード,CP22S,91/8～95/9,ターボ 3ドア<br>車台No.250001→370000,フロント,23000,,79634,371032,DIXCEL,ブレーキパッド,R01,材質:HD(High Density)グラファイト・メタリック<br>適正温度:200～900℃<br>初期μ:0.48<br>平均μ:0.38～0.43,,25000,20000,3000
