自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
スバル,レガシィアウトバック,BRF,09/06～12/05,3.6R(A～C型)(アイサイト含む),リア,32700,,78599,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください,33000,29700,3000
スバル,レガシィアウトバック,BRF,12/05～14/10,3.6R ,リア,32700,,104567,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください,33000,29700,3000
スバル,レガシィセダン/レガシィB4,BE5,01/02～02/03,ブリッツェン<br>2001年モデル,リア,28200,,107361,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,レガシィセダン/レガシィB4,BE5,02/03～03/06,ブリッツェン<br>2002年モデル,リア,28200,,126801,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,レガシィセダン/レガシィB4,BE5,02/11～03/04,B4 RSK,リア,28200,,126800,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,フロント4POTキャリパー(通称「赤キャリ」)換装車は品番:361074を使用して下さい,28000,25200,3000
スバル,レガシィセダン/レガシィB4,BE5,98/12～03/04,B4 RS/S(NA),リア,28200,,87674,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,フロント4POTキャリパー(通称「赤キャリ」)換装車は品番:361074を使用して下さい,28000,25200,3000
スバル,レガシィセダン/レガシィB4,BE5,98/12～03/04,B4 RSK,リア,28200,,107360,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,フロント4POTキャリパー(通称「赤キャリ」)換装車は品番:361074を使用して下さい,28000,25200,3000
スバル,レガシィセダン/レガシィB4,BE9,01/06～03/06,RS25,リア,28200,,100757,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,レガシィセダン/レガシィB4,BEE,02/02～03/06,ブリッツェン 6/RS30,リア,28200,,87675,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,レガシィセダン/レガシィB4,BES,02/10～03/06,S401,フロント,55200,,113731,361077,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,58000,52200,3000
スバル,レガシィセダン/レガシィB4,BES,02/10～03/06,S401,リア,32700,,83480,325499,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,33000,29700,3000
スバル,レガシィセダン/レガシィB4,BL5,03/06～09/05,2.0GT STi(ブレンボ),フロント,55200,,107357,361077,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,58000,52200,3000
スバル,レガシィセダン/レガシィB4,BL5,03/06～09/05,2.0GT STi(ブレンボ),リア,32700,,116164,325499,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,33000,29700,3000
スバル,レガシィセダン/レガシィB4,BL5,03/06～09/05,2.0GT/スペックB,リア,28200,,107362,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,レガシィセダン/レガシィB4,BL5,03/06～09/05,ブリッツェン 2005/2006,リア,28200,,94245,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,レガシィセダン/レガシィB4,BL9,07/11～09/05,2.5i SIクルーズ,リア,28200,,81373,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,レガシィセダン/レガシィB4,BL9改,08/06～09/05,S402,リア,32700,,102885,325499,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,33000,29700,3000
スバル,レガシィセダン/レガシィB4,BLE,03/09～09/05,3.0R/スペックB/SIクルーズ,リア,28200,,120381,365084,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,レガシィセダン/レガシィB4,BM9,09/05～10/04,2.5i Sパッケージリミテッド(A型のみ),リア,32700,,104568,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください,33000,29700,3000
スバル,レガシィセダン/レガシィB4,BM9,09/05～12/04,2.5GT A～C型(アイサイト含む),リア,32700,,111290,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください,33000,29700,3000
スバル,レガシィセダン/レガシィB4,BM9,10/05～11/05,2.5i アイサイト スポーツセレクション B型,リア,32700,,98016,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください,33000,29700,3000
スバル,レガシィセダン/レガシィB4,BM9,10/05～12/04,2.5i Sスタイル B～C型 ,フロント,37200,,94241,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください<br>Rシリーズにリテーナーは付属しておりません,38000,34200,3000
スバル,レガシィセダン/レガシィB4,BM9,10/05～12/04,2.5i Sパッケージ B～C型(アイサイト含む),リア,32700,,91453,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください,33000,29700,3000
スバル,レガシィセダン/レガシィB4,BM9,10/05～12/04,2.5i アイサイト B～C型 ,フロント,37200,,87672,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください<br>Rシリーズにリテーナーは付属しておりません,38000,34200,3000
スバル,レガシィセダン/レガシィB4,BM9,10/05～12/04,2.5i/2.5i Lパッケージ B～C型 ,フロント,37200,,76223,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください<br>Rシリーズにリテーナーは付属しておりません,38000,34200,3000
スバル,レガシィセダン/レガシィB4,BM9,12/05～,2.5GT ,リア,32700,,104569,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください,33000,29700,3000
スバル,レガシィセダン/レガシィB4,BMG,12/05～14/10,2.0 GT DIT ,リア,32700,,104570,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,運転支援システム(アイサイト)との動作確認済み<br>但し全ての衝突事故を回避できるシステムではありませんので予めご了承ください,33000,29700,3000
トヨタ,86,ZN6,12/04～,GT,フロント,37200,,101807,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,38000,34200,3000
トヨタ,86,ZN6,12/04～,GT,リア,32700,,124117,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,33000,29700,3000
トヨタ,86,ZN6,12/04～,GTリミテッド,フロント,37200,,121722,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,GTリミテッド フロントは標準でサーキット対応のスポーツパッドが採用,38000,34200,3000
トヨタ,86,ZN6,12/04～,GTリミテッド,リア,32700,,117460,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,GTリミテッド フロントは標準でサーキット対応のスポーツパッドが採用,33000,29700,3000
トヨタ,86,ZN6,12/04～,RC/G,フロント,37200,,76220,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,38000,34200,3000
トヨタ,86,ZN6,12/04～,RC/G リア:ベンチディスク,リア,32700,,117459,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,33000,29700,3000
トヨタ,86,ZN6,12/04～,TRD ブレーキキット ブレンボ 4ポット,リア,46200,,81046,281001,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,48000,43200,3000
トヨタ,86,ZN6,12/04～,TRD ブレーキキット ブレンボ 6ポット,フロント,64200,,104571,9910014,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,68000,61200,3000
トヨタ,86,ZN6,12/04～,レーシング(GAZOO ONE MAKE RACE 車両),リア,32700,,124118,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,33000,29700,3000
トヨタ,86,ZN6,17/02～,GTリミテッド,リア,32700,,100467,325499,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,GTリミテッド フロントは標準でサーキット対応のスポーツパッドが採用,33000,29700,3000
トヨタ,86,ZN6,17/02～,GTリミテッド ハイパフォーマンスパッケージ(ブレンボ),フロント,55200,,113729,361077,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,GTリミテッド フロントは標準でサーキット対応のスポーツパッドが採用,58000,52200,3000
トヨタ,86,ZN6,17/09～,GT,リア,32700,,126577,325499,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,33000,29700,3000
トヨタ,86,ZN6,17/09～,GT オプション ブレンボ,フロント,55200,,126796,361077,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,58000,52200,3000
トヨタ,86,ZN6,17/09～,GTリミテッド,リア,32700,,113403,325499,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,GTリミテッド フロントは標準でサーキット対応のスポーツパッドが採用,33000,29700,3000
トヨタ,86,ZN6,17/09～,GTリミテッド ブラックパッケージ(ブレンボ),フロント,55200,,94242,361077,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,GTリミテッド フロントは標準でサーキット対応のスポーツパッドが採用,58000,52200,3000
トヨタ,86,ZN6,17/09～,RC/G,リア,32700,,87287,325499,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,33000,29700,3000
