自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,送料,販売価格,工賃
スズキ,スイフト,ZC13S/ZC53S/ZD53S,17/01～,,フロント,21600,,184005,SD3714093-qq-e-243k,4547726620076,3714093,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,22000,600,17600,4000
スズキ,スイフト,ZC13S/ZC53S/ZD53S,17/01～,,リア,18400,,184027,SD3754028-qq-e-265k,4547726620083,3754028,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,18000,600,14400,4000
スズキ,スイフト,ZC31S,05/09～11/12,,フロント,21600,,183871,SD3714019-qq-e-66k,4547726527207,3714019,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,22000,600,17600,4000
スズキ,スイフト,ZC31S,05/09～11/12,,リア,19200,,184016,SD3754010-qq-e-254k,4547726527214,3754010,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,19000,600,15200,4000
スズキ,スイフト,ZC32S,11/12～17/09,,フロント,21600,,183973,SD3714045-qq-e-192k,4547726528860,3714045,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,22000,600,17600,4000
スズキ,スイフト,ZC32S,11/12～17/09,,リア,18400,,184025,SD3754022-qq-e-263k,4547726528846,3754022,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,18000,600,14400,4000
スズキ,スイフト,ZC33S,17/09～,,フロント,24800,,184004,SD3714087-qq-e-242k,4547726529799,3714087,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,26000,600,20800,4000
スズキ,スイフト,ZC33S,17/09～,,リア,21600,,184026,SD3754024-qq-e-264k,4547726529812,3754024,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,22000,600,17600,4000
スズキ,スイフト,ZC43S,17/01～,SL リア:ディスク,フロント,21600,,184006,SD3714093-qq-e-244k,4547726620076,3714093,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,22000,600,17600,4000
スズキ,スイフト,ZC43S,17/01～,SL リア:ディスク,リア,18400,,184028,SD3754028-qq-e-266k,4547726620083,3754028,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,18000,600,14400,4000
スズキ,スイフト,ZC72S,10/09～,RS リア:ドラム,フロント,20800,,183991,SD3714071-qq-e-226k,4547726525593,3714071,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,21000,600,16800,4000
スズキ,スイフト,ZC72S,10/09～,XG/XL,フロント,20800,,183992,SD3714071-qq-e-227k,4547726525593,3714071,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,21000,600,16800,4000
スズキ,スイフト,ZC72S,10/09～,XS,フロント,24800,,183971,SD3714041-qq-e-186k,4547726528440,3714041,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,26000,600,20800,4000
スズキ,スイフト,ZC72S,10/09～,XS,リア,20800,,184023,SD3754020-qq-e-261k,4547726528457,3754020,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,21000,600,16800,4000
スズキ,スイフト,ZC72S,10/09～17/01,RS リア:ディスク,フロント,24800,,183970,SD3714041-qq-e-185k,4547726528440,3714041,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,26000,600,20800,4000
スズキ,スイフト,ZC72S,10/09～17/01,RS リア:ディスク,リア,20800,,184022,SD3754020-qq-e-260k,4547726528457,3754020,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,21000,600,16800,4000
スズキ,スイフト,ZC83S,17/01～,RS/XL リア:ディスク,フロント,21600,,184007,SD3714093-qq-e-245k,4547726620076,3714093,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,22000,600,17600,4000
スズキ,スイフト,ZC83S,17/01～,RS/XL リア:ディスク,リア,18400,,184029,SD3754028-qq-e-267k,4547726620083,3754028,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,18000,600,14400,4000
スズキ,スイフト,ZD72S,10/09～17/01,,フロント,24800,,183972,SD3714041-qq-e-187k,4547726528440,3714041,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,26000,600,20800,4000
スズキ,スイフト,ZD72S,10/09～17/01,,リア,20800,,184024,SD3754020-qq-e-262k,4547726528457,3754020,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,21000,600,16800,4000
スズキ,スイフト,ZD83S,17/01～,XG リア:ドラム,フロント,21600,,184009,SD3714093-qq-e-247k,4547726620076,3714093,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,22000,600,17600,4000
スズキ,スイフト,ZD83S,17/01～,XL リア:ディスク,フロント,21600,,184008,SD3714093-qq-e-246k,4547726620076,3714093,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,22000,600,17600,4000
スズキ,スイフト,ZD83S,17/01～,XL リア:ディスク,リア,18400,,184030,SD3754028-qq-e-268k,4547726620083,3754028,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,18000,600,14400,4000
スズキ,スプラッシュ,XB32S,08/10～,,フロント,23200,,183982,SD3714061-qq-e-216k,4547726527474,3714061,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,24000,600,19200,4000
スズキ,スペーシア,MK32S/MK42S,13/03～17/12,NA・4WD<br>ベンチディスク,フロント,17600,,183958,SD3714033-qq-e-173k,4547726526804,3714033,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
スズキ,スペーシア,MK32S/MK42S,13/03～17/12,NA・FF<br>ソリッドディスク,フロント,16800,,183895,SD3714027-qq-e-124k,4547726521991,3714027,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,16000,600,12800,4000
スズキ,スペーシア,MK32S/MK42S,13/03～17/12,ターボ ベンチディスク,フロント,17600,,183959,SD3714033-qq-e-174k,4547726526804,3714033,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
スズキ,スペーシア,MK53S,17/12～,NA・4WD<br>ベンチディスク,フロント,17600,,183977,SD3714049-qq-e-197k,4547726527269,3714049,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
スズキ,スペーシア,MK53S,17/12～,NA・FF<br>ソリッドディスク,フロント,15200,,184001,SD3714083-qq-e-239k,4547726529355,3714083,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,スペーシアカスタム,MK32S/MK42S,13/03～17/12,NA&ターボ,フロント,17600,,183960,SD3714033-qq-e-175k,4547726526804,3714033,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
スズキ,スペーシアカスタム,MK53S,17/12～,ALL,フロント,17600,,183978,SD3714049-qq-e-198k,4547726527269,3714049,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
