自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
トヨタ,ガイア,ACM10G,1998.5～2004.9,,Fr：調整式ピロボール<br>Rr：純正流用,439236,,211557,3AAA-TP19-000-2CUP-qq-e-283,出さない,3AAA.TP19.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,調整式ピロボール|純正流用,250/8|(6),40|30,+40/-20|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種<br>リアは社外スプリング使用,540000,出さない,受注生産　1ヶ月程度
トヨタ,ガイア,ACM10G,1998/5～2004/9,,Fr：調整式ピロボール<br>Rr：純正流用,250831,,212264,3AAA-TP19-000-qq-e-58,3AAA-TP19-000-qq-e-d-58,3AAA.TP19.000,Aragosta,全長調整式車高調,W,調整式ピロボール|純正流用,250/8|(6),40|30,+40/-20|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種<br>リアは社外スプリング使用,320000,255000,受注生産　2～3週間程度
トヨタ,ナディア,SXN15,1998～2003,,Fr：調整式ピロボール<br>Rr：純正流用,250831,,211856,3AAA-PX-A1-000-qq-e-22,3AAA-PX-A1-000-qq-e-d-22,3AAA.PX.A1.000,Aragosta,全長調整式車高調,W,調整式ピロボール|純正流用,200/8+3|(6),40|30,+40/-20|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種<br>リアは社外スプリング使用,320000,255000,受注生産　2～3週間程度
トヨタ,ナディア,SXN15,1998～2003,,Fr：調整式ピロボール<br>Rr：純正流用,439236,,212855,3AAA-PX-A1-000-2CUP-qq-e-482,出さない,3AAA.PX.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,調整式ピロボール|純正流用,200/8+3|(6),40|30,+40/-20|-,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/ショック・スプリング別置き、別体式,特注対応車種<br>リアは社外スプリング使用,540000,出さない,受注生産　1ヶ月程度
トヨタ,ハリアー,SXU10W,1997.12～2003.2,,Fr：調整式ピロボール<br>Rr：純正流用,488040,,212580,3AAA-TP14-000-2CUP-qq-e-285,出さない,3AAA.TP14.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,調整式ピロボール|純正流用,225/6|225/5,40|40,+20/-30|+30/-30,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,特注対応車種,600000,出さない,受注生産　1ヶ月程度
トヨタ,ハリアー,SXU10W,1997/12～2003/2,,Fr：調整式ピロボール<br>Rr：純正流用,297365,,212581,3AAA-TP14-000-qq-e-24,3AAA-TP14-000-qq-e-d-24,3AAA.TP14.000,Aragosta,全長調整式車高調,W,調整式ピロボール|純正流用,225/6|225/5,40|40,+20/-30|+30/-30,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,特注対応車種,380000,300000,受注生産　2～3週間程度
トヨタ,ハリアーハイブリッド,MHU38W,2010.8～2013.7,,Fr：調整式ピロボール<br>Rr：純正流用,488040,,211924,3AAA-TP15-000-2CUP-qq-e-483,出さない,3AAA.TP15.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,調整式ピロボール|純正流用,250/8|200/6,60|60,+40/-20|+40/-25,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,特注対応車種,600000,出さない,受注生産　1ヶ月程度
トヨタ,ハリアーハイブリッド,MHU38W,2010/8～2013/7,,Fr：調整式ピロボール<br>Rr：純正流用,297365,,211925,3AAA-TP15-000-qq-e-23,3AAA-TP15-000-qq-e-d-23,3AAA.TP15.000,Aragosta,全長調整式車高調,W,調整式ピロボール|純正流用,250/8|200/6,60|60,+40/-20|+40/-25,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,特注対応車種,380000,300000,受注生産　2～3週間程度
トヨタ,マークIIクオリス,MCV25W,1997.4～2002.1,,Fr：調整式ピロボール<br>Rr：純正流用,471772,,212253,3AAA-TP01-000-2CUP-qq-e-396,出さない,3AAA.TP01.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,W,調整式ピロボール|純正流用,175/12|200/7,30|30,+30/-25|+20/-35,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,特注対応車種,580000,出さない,受注生産　1ヶ月程度
トヨタ,マークIIクオリス,MCV25W,1997/4～2002/1,,Fr：調整式ピロボール<br>Rr：純正流用,281853,,212570,3AAA-TP01-000-qq-e-41,3AAA-TP01-000-qq-e-d-41,3AAA.TP01.000,Aragosta,全長調整式車高調,W,調整式ピロボール|純正流用,175/12|200/7,30|30,+30/-25|+20/-35,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/正立式ショック/コイルオーバー一体式,特注対応車種,360000,285000,受注生産　2～3週間程度
