自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
トヨタ,86,ZN6,2012/4～,,Fr：調整式ピロボール<br>Rr：固定式ピロボール,429213,,211909,3AAA-TI-S1-000-qq-e-15,3AAA-TI-S1-000-qq-e-d-15,3AAA.TI.S1.000,Aragosta,全長調整式車高調,SS,調整式ピロボール|固定式ピロボール,10～20|10～20,20|23,+40/-15|+30/-32,材質:スティール硬質クロームメッキ加工+WPC加工またはカチオンコート/倒立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,550000,427500,受注生産　2～3週間程度
トヨタ,アルテッツァ,SXE10/GXE10,1998.10～2005.7,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,723926,,211530,3AAA-T5-S1-000-4CUP-qq-e-599,出さない,3AAA.T5.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,固定式ピロボール|固定式ピロボール,10～20|8～16,30|30,+30/-15|+30/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,890000,出さない,受注生産　1ヶ月程度
トヨタ,アルテッツァ,SXE10/GXE10,1998.10～2005.7,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,577514,,212542,3AAA-T5-S1-000-2CUP-qq-e-378,出さない,3AAA.T5.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,10～20|8～16,30|30,+30/-15|+30/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,710000,出さない,受注生産　1ヶ月程度
トヨタ,アルテッツァ,SXE10/GXE10,1998/10～2005/7,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,390434,,212235,3AAA-T5-S1-000-qq-e-30,3AAA-T5-S1-000-qq-e-d-30,3AAA.T5.S1.000,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,10～20|8～16,30|30,+30/-15|+30/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,500000,390000,受注生産　2～3週間程度
トヨタ,スープラ,JZA80,1993.5～2002.7,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,618184,,212228,3AAA-T1-S1-000-2CUP-qq-e-161,出さない,3AAA.T1.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,16～28|10～24,665|665,+25/-23|+25/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,ダウン量は地上～フェンダーアーチ中央が目安,760000,出さない,受注生産　1ヶ月程度
トヨタ,スープラ,JZA80,1993.5～2002.7,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,764596,,212535,3AAA-T1-S1-000-4CUP-qq-e-533,出さない,3AAA.T1.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,固定式ピロボール|固定式ピロボール,16～28|10～24,665|665,+25/-23|+25/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,ダウン量は地上～フェンダーアーチ中央が目安,940000,出さない,受注生産　1ヶ月程度
トヨタ,スープラ,JZA80,1993/5～2002/7,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,429213,,212889,3AAA-T1-S1-000-qq-e-3,3AAA-T1-S1-000-qq-e-d-3,3AAA.T1.S1.000,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,16～28|10～24,665|665,+25/-23|+25/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,ダウン量は地上～フェンダーアーチ中央が目安,550000,427500,受注生産　2～3週間程度
日産,GT-R,R35,2007.12～,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,699524,,211828,3AAA-NH-S1-000-2CUP-qq-e-419,出さない,3AAA.NH.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,SS,固定式ピロボール|固定式ピロボール,14～24|10～10,15|20,+16/-19|+30/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,withアラゴスタカップ2CUP/4CUPはリモコン付KIT,860000,出さない,受注生産　1ヶ月程度
日産,GT-R,R35,2007.12～,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,862204,,211829,3AAA-NH-S1-000-4CUP-qq-e-578,出さない,3AAA.NH.S1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,SS,固定式ピロボール|固定式ピロボール,14～24|10～10,15|20,+16/-19|+30/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,withアラゴスタカップ2CUP/4CUPはリモコン付KIT,1060000,出さない,受注生産　1ヶ月程度
日産,GT-R,R35,2007/12～,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,467993,,211429,3AAA-NH-S1-000-qq-e-50,3AAA-NH-S1-000-qq-e-d-50,3AAA.NH.S1.000,Aragosta,全長調整式車高調,SS,固定式ピロボール|固定式ピロボール,14～24|10～10,15|20,+16/-19|+30/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,withアラゴスタカップ2CUP/4CUPはリモコン付KIT,600000,485000,受注生産　2～3週間程度
