自動車メーカー,車種,型式/モデル,年式,適合詳細,アッパーマウント,販売価格,Camp売価,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,タイプ,アッパーマウント【F|R】,スプリングレート 自由長(mm)/レート(kgf)【F|R】,ダウン量(-mm)【F|R】,全長調整範囲(mm) ダウン量から+/-【F|R】,ショック構成 材質/形式/構成 フロント,ショック構成 材質/形式/構成 リア,備考,定価,SET価格,納期
トヨタ,クラウンマジェスタ,17系/18系,1999.9～2009.3,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,577514,,212914,3AAA-TP11-000-4CUP-qq-e-567,出さない,3AAA.TP11.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,P,固定式ピロボール|固定式ピロボール,200/12|250/8,40|25,+20/-45|+10/-60,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,710000,出さない,受注生産　1ヶ月程度
トヨタ,クラウンマジェスタ,17系/18系,1999/9～2009/3,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,239197,,211555,3AAA-TP11-R00-qq-e-88,3AAA-TP11-R00-qq-e-d-88,3AAA.TP11.R00,Aragosta,全長調整式車高調,P,固定式強化ラバー|固定式強化ラバー,200/12|250/8,40|25,+20/-45|+10/-60,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,305000,243800,受注生産　2～3週間程度
トヨタ,クラウンマジェスタ,17系/18系,1999/9～2009/3,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,250831,,212260,3AAA-TP11-000-qq-e-89,3AAA-TP11-000-qq-e-d-89,3AAA.TP11.000,Aragosta,全長調整式車高調,P,固定式ピロボール|固定式ピロボール,200/12|250/8,40|25,+20/-45|+10/-60,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,320000,255000,受注生産　2～3週間程度
トヨタ,クラウンマジェスタ,20系,2009.3～2013.9,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,431102,,212589,3AAA-TP26-000-2CUP-qq-e-385,出さない,3AAA.TP26.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,P,固定式ピロボール|固定式ピロボール,200/12|250/8,40|25,+15/-30|+25/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,530000,出さない,受注生産　1ヶ月程度
トヨタ,クラウンマジェスタ,20系,2009.3～2013.9,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,577514,,212921,3AAA-TP26-000-4CUP-qq-e-613,出さない,3AAA.TP26.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,P,固定式ピロボール|固定式ピロボール,200/12|250/8,40|25,+15/-30|+25/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,710000,出さない,受注生産　1ヶ月程度
トヨタ,クラウンマジェスタ,20系,2009/3～2013/9,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,250831,,212590,3AAA-TP26-000-qq-e-93,3AAA-TP26-000-qq-e-d-93,3AAA.TP26.000,Aragosta,全長調整式車高調,P,固定式ピロボール|固定式ピロボール,200/12|250/8,40|25,+15/-30|+25/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,320000,255000,受注生産　2～3週間程度
トヨタ,クラウンマジェスタ,20系,2009/3～2013/9,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,239197,,212592,3AAA-TP26-R00-qq-e-90,3AAA-TP26-R00-qq-e-d-90,3AAA.TP26.R00,Aragosta,全長調整式車高調,P,固定式強化ラバー|固定式強化ラバー,200/12|250/8,40|25,+15/-30|+25/-30,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,305000,243800,受注生産　2～3週間程度
トヨタ,セルシオ,UCF20/UCF21,1994.10～2000.8,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,447370,,212556,3AAA-TF-A1-000-2CUP-qq-e-387,出さない,3AAA.TF.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,P,固定式ピロボール|固定式ピロボール,250/12|250/7,35|35,+40/-25|+45/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,550000,出さない,受注生産　1ヶ月程度
トヨタ,セルシオ,UCF20/UCF21,1994.10～2000.8,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,593782,,212557,3AAA-TF-A1-000-4CUP-qq-e-614,出さない,3AAA.TF.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,P,固定式ピロボール|固定式ピロボール,250/12|250/7,35|35,+40/-25|+45/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,730000,出さない,受注生産　1ヶ月程度
トヨタ,セルシオ,UCF20/UCF21,1994/10～2000/8,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,266342,,212558,3AAA-TF-A1-000-qq-e-8,3AAA-TF-A1-000-qq-e-d-8,3AAA.TF.A1.000,Aragosta,全長調整式車高調,P,固定式ピロボール|固定式ピロボール,250/12|250/7,35|35,+40/-25|+45/-20,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,340000,295000,受注生産　2～3週間程度
トヨタ,セルシオ,UCF20/UCF21,1994/10～2000/8,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,254708,,212903,3AAA-TF-A1-R00-qq-e-9,3AAA-TF-A1-R00-qq-e-d-9,3AAA.TF.A1.R00,Aragosta,全長調整式車高調,P,固定式強化ラバー|固定式強化ラバー,250/12|250/7,35|35,+30/-39|+45/-22,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,325000,283800,受注生産　2～3週間程度
トヨタ,セルシオ,UCF30/UCF31,2000.8～2006.5,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,593782,,211541,3AAA-TD-A1-000-4CUP-qq-e-531,出さない,3AAA.TD.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,P,固定式ピロボール|固定式ピロボール,200/14|250/6,35|35,+40/-25|+40/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,730000,出さない,受注生産　1ヶ月程度
トヨタ,セルシオ,UCF30/UCF31,2000.8～2006.5,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,447370,,212552,3AAA-TD-A1-000-2CUP-qq-e-160,出さない,3AAA.TD.A1.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,P,固定式ピロボール|固定式ピロボール,200/14|250/6,35|35,+40/-25|+40/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,550000,出さない,受注生産　1ヶ月程度
トヨタ,セルシオ,UCF30/UCF31,2000/8～2006/5,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,266342,,211901,3AAA-TD-A1-000-qq-e-11,3AAA-TD-A1-000-qq-e-d-11,3AAA.TD.A1.000,Aragosta,全長調整式車高調,P,固定式ピロボール|固定式ピロボール,200/14|250/6,35|35,+40/-25|+40/-25,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,340000,295000,受注生産　2～3週間程度
トヨタ,セルシオ,UCF30/UCF31,2000/8～2006/5,,Fr：固定式強化ラバー<br>Rr：固定式強化ラバー,254708,,211902,3AAA-TD-A1-R00-qq-e-10,3AAA-TD-A1-R00-qq-e-d-10,3AAA.TD.A1.R00,Aragosta,全長調整式車高調,P,固定式強化ラバー|固定式強化ラバー,200/14|250/6,35|35,+30/-35|+30/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,325000,283800,受注生産　2～3週間程度
トヨタ,ソアラ,UZZ40,2001.4～2005.6,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,463638,,211559,3AAA-TP22-000-2CUP-qq-e-390,出さない,3AAA.TP22.000,Aragosta,全長調整式車高調 with アラゴスタカップ 2CUP,P,固定式ピロボール|固定式ピロボール,200/16|250/12,30|30,+25/-30|+25/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,570000,出さない,受注生産　1ヶ月程度
トヨタ,ソアラ,UZZ40,2001.4～2005.6,,Fr：固定式ピロボール<br>Rr：固定式ピロボール,610050,,211560,3AAA-TP22-000-4CUP-qq-e-570,出さない,3AAA.TP22.000,Aragosta,全長調整式車高調 with アラゴスタカップ 4CUP,P,固定式ピロボール|固定式ピロボール,200/16|250/12,30|30,+25/-30|+25/-35,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,材質:アルミカシマコート/正立式ショック/コイルオーバー一体式,,750000,出さない,受注生産　1ヶ月程度
