自動車メーカー,車種,型式/通称型式,年式,駆動方式,適合詳細,車高設定範囲<br>(参考値),販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F|R),バネレート(F|R),車高設定範囲(参考値)F|R,ダウン量(参考値)F|R,減衰力調整,備考,注意事項,定価,SET価格,,取付特記事項,データ追加日
FIAT,500,31214/31212/31209,2009/12～,2WD,,Fr：560mm～632mm<br>Rr：600mm～625mm,94800,,248533,01011228001-qq-951,01011228001-qq-d-41,Largus,Spec S I,マウントレス|マウントレス,5k|5k,560mm～632mm|600mm～625mm,,32段階調整,,製造時期によって純正マフラーのサイレンサーとパイプが一体型の車両と分割型の車両があり、一体型マフラーの場合車高調のブラケットと干渉する場合があります<br>万が一干渉した場合はブラケット及びマフラーの加工が必要となりますのでご注意ください<br>マフラー形状に関しては画像にてご確認ください,94800,119800,,,20191023初期
FIAT,グランデプント,199142/199141,2006/06～2010/06,2WD,,Fr：600mm～640mm<br>Rr：595mm～640mm,95800,,248295,01011228002-qq-351,01011228002-qq-d-42,Largus,Spec S I,マウントレス|マウントレス,6k|3k,600mm～640mm|595mm～640mm,,32段階調整,,,95800,120800,,,20191023初期
FORD,マスタング,S197,2006/06～2014/02,2WD,,Fr：650mm～726mm<br>Rr：675mm～692mm,95800,,248294,01011227001-qq-638,01011227001-qq-d-43,Largus,Spec S I,調整式ピロ|マウントレス,7k|5k,650mm～726mm|675mm～692mm,-69mm～+7mm|-68mm～-51mm,32段階調整,,,95800,120800,,,20191023初期
FORD,マスタング,S550,2014/11～,2WD,,Fr：668mm～720mm<br>Rr：662mm～728mm,97800,,248733,01011227003-qq-639,01011227003-qq-d-153,Largus,Spec S I,調整式ピロ|マウントレス,7k|14K,668mm～720mm|662mm～728mm,-52mm～0mm|-58mm～-15mm,32段階調整,,,97800,122800,,,20191023初期
FORD,マスタング,SN95,1994/05～2004/04,2WD,,Fr：606mm～715mm<br>Rr：635mm～680mm,100800,,248532,01011227002-qq-640,01011227002-qq-d-44,Largus,Spec S I,調整式ピロ|マウントレス,8k|5k,606mm～715mm|635mm～680mm,-35mm～+74mm|-59mm～-14mm,32段階調整,現車確認車輌型式:GF-1FARWP4,,100800,125800,,,20191023初期
HYUNDAI,ジェネシスクーペ,,2010～,2WD,,Fr：620mm～725mm<br>Rr：650mm～718mm,99800,,248296,01011230001-qq-372,01011230001-qq-d-45,Largus,Spec S I,調整式ピロ|固定式強化ゴム,5k|8k,620mm～725mm|650mm～718mm,,32段階調整,,,99800,124800,,,20191023初期
JAGUAR,XJ,J73TA,2003/05～2010/05,2WD,エアサス車専用,Fr：637mm～717mm<br>Rr：662mm～728mm,138000,,248761,01011243001-qq-24,出さない,Largus,Spec S I,固定式強化ゴム|固定式強化ゴム,12k|10k,637mm～717mm|662mm～728mm,-78mm～+2mm|-44mm～+22mm,32段階調整,変更登録申請書類(強度検討書)付<br>リアアッパーマウントナット純正再使用必要,エアサスを外したことにより警告等などの表示がでる可能性あり,138000,出さない,,,20191023初期
LANCIA,デルタインテグラーレ16V,L31D5,,4WD,,Fr：610mm～660mm<br>Rr：615mm～710mm,99800,,248735,01011231001-qq-503,01011231001-qq-d-47,Largus,Spec S I,調整式ピロ|固定式強化ゴム,6k|3k,610mm～660mm|615mm～710mm,,32段階調整,,,99800,124800,,,20191023初期
LANCIA,デルタインテグラーレエボルツィオーネ,L31E5,1992/01～1995/01,4WD,,Fr：590mm～650mm<br>Rr：590mm～650mm,94800,,248736,01011231002-qq-504,01011231002-qq-d-48,Largus,Spec S I,調整式ピロ|固定式強化ゴム,6k|3k,590mm～650mm|590mm～650mm,,32段階調整,,,94800,119800,,,20191023初期
LOTUS,エクシージ,,2004/05～,2WD,,Fr：615mm～655mm<br>Rr：645mm～680mm,92800,,248738,01011232001-qq-235,01011232001-qq-d-49,Largus,Spec S I,マウントレス|マウントレス,7k|8k,615mm～655mm|645mm～680mm,,32段階調整,ネジ式車高調,,92800,117800,,,20191023初期
