自動車メーカー,車種,型式,年式,駆動方式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,メーカー名,商品名,仕様,注意事項,定価
ホンダ,N-ONE,JG1,2012/11～,2WD,,取付時要内装加工<br>リアシートヘッドレスト上にバー本体が通ります<br>リアシートベルトのスイング不可,9800,,249169,05401203013-qq-3k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ホンダ,オデッセイ,RB1/RB2,,RB1:2WD<br>RB2:4WD,,,9800,,249159,05401203003-qq-12k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ホンダ,ステップワゴン,RF3/RF4/RF5/RF6/RF7/RF8,,RF3/RF5/RF7:2WD<br>RF4/RF6/RF8:4WD,,,9800,,249160,05401203004-qq-13k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ホンダ,ステップワゴン,RK1/RK2/RK3/RK4/RK5/RK6,,RK1/RK3/RK5:2WD<br>RK2/RK4/RK6:4WD,,,9800,,249161,05401203005-qq-14k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ホンダ,ステップワゴン,RP1/RP2/RP3/RP4,,RP1/RP3:2WD<br>RP2/RP4:4WD,,,9800,,249162,05401203006-qq-15k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ホンダ,ステップワゴンスパーダ,RP5,,2WD,,乗員の頭部及びシートベルトと干渉する為サードシート使用不可,9800,,249168,05401203012-qq-21k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ホンダ,バモス,HM1/HM2,,HM1:2WD<br>HM2:4WD,,,9800,,249163,05401203007-qq-16k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ホンダ,フリード,GB6,,4WD,,,9800,,249167,05401203011-qq-20k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ホンダ,フリードハイブリッド,GB7,,2WD,,,9800,,249164,05401203008-qq-17k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ホンダ,ライフ,JB5/JB6/JB7/JB8,,JB5/JB7:2WD<br>JB6/JB8:4WD,,,9800,,249165,05401203009-qq-18k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
ホンダ,ライフ,JC1,,2WD,,,9800,,249166,05401203010-qq-19k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
マツダ,RX-7,FD3S,,2WD,,,9800,,249212,05401210001-qq-56k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
マツダ,デミオ,DE3FS/DE5FS,2007/07～2014/09,2WD,,ベルトステーはスイング不可<br>要内装加工または内装外し<br>2列目シート乗車可能,9800,,249214,05401210003-qq-10k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
マツダ,デミオ,DY3R/DY3W,,DY3R:4WD<br>DY3W:2WD,,,9800,,249213,05401210002-qq-57k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
三菱,アイ,HA1W,2006/01～2013/09,2WD,,ブラケットと内装のクリアランスが少なく、個体差で干渉する可能性があります<br>ベルトステーはスイング不可<br>2列目シート乗車可能(背もたれを倒すとヘッドレストとバーが干渉します),9800,,249173,05401206004-qq-7k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
三菱,アウトランダー,GF7W/GF8W,GF8W:2012/10～,GF7W:2WD<br>GF8W:4WD,パワーゲート有無に関わらず取り付け可,3列目シートの頭上にバー本体が通ります,9800,,249170,05401206001-qq-22k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
三菱,デリカD：2,MB36S,,2WD,,後部座席ヘッドレストの高さ調整に制限がつきます,9800,,249172,05401206003-qq-24k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
三菱,デリカD：5,CV1W/CV2W/CV5W,,CV1W:4WD<br>CV2W:2WD<br>CV5W:2WD/4WD,,,9800,,249171,05401206002-qq-23k,Largus,調整式リアピラーバー,ターンバックル式<br>32φ・アルミ製バー<br>LARGUSロゴステッカー付属,,9800
