自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,スプリングレート kgf/mm(F/R),基準ダウン量 mm(F/R),推奨車高調整範囲 mm(F/R),備考,注意事項,定価,SET価格
ホンダ,NSX,NA1/NA2,1990/09～2005/12,,,80500,,305960,HS-H23DT-qq-e-28,HS-H23DT-qq-e-d-28,HS-H23DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):175/200,10(8・12・14)/12(10・14・16)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,98200
ホンダ,S2000,AP1/AP2,1999/04～2009/09,,,80500,,305959,HS-H21S-qq-e-69k,HS-H21S-qq-e-d-69k,HS-H21S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/175,10(8・12・14)/10(8・12・14)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
ホンダ,アコードユーロR,CL1,1997/09～2002/10,,,80500,,305955,HS-H17S-qq-e-70k,HS-H17S-qq-e-d-70k,HS-H17S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/200,8(6・10・12)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
ホンダ,アコードユーロR,CL7,2002/12～2008/12,,,80500,,305957,HS-H18DT-qq-e-31,HS-H18DT-qq-e-d-31,HS-H18DT,RACING GEAR,HS DAMPER,構造:複筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):200/250,8(6・10・12)/4(6・8)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,受注生産(1.5～2か月),必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
ホンダ,インテグラ,DC2/DB8,1993/05～2001/07,,,80500,,305952,HS-H09S-qq-e-71k,HS-H09S-qq-e-d-71k,HS-H09S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):175/200,10(8・12・14)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
ホンダ,インテグラタイプR,DC5,2001/07～2007/02,,,80500,,305948,HS-A03S-qq-e-33,HS-A03S-qq-e-d-33,HS-A03S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):150/150,10(8・12・14)/14(12・16)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
ホンダ,シビック,EF9,1989/03～1991/09,,,80500,,305954,HS-H10S-qq-e-72k,HS-H10S-qq-e-d-72k,HS-H10S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):150/150,12(10・14・16)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
ホンダ,シビック,EG6,1991/09～1995/09,,,80500,,305953,HS-H09S-qq-e-73k,HS-H09S-qq-e-d-73k,HS-H09S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):175/200,10(8・12・14)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
ホンダ,シビック,EK4/EK9,1995/09～2000/09,,,80500,,305951,HS-H05S-qq-e-36,HS-H05S-qq-e-d-36,HS-H05S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ゴムブッシュ/ゴムブッシュ<br>内径 mm(F/R):65/65<br>自由長 mm(F/R):175/200,12(10・14・16)/8(6・10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
ホンダ,シビック,FC1/FK7,2017/09～,フロントナックルアーム差込口φ52車専用,,80500,,305963,HS-H81S-qq-e-74k,HS-H81S-qq-e-d-74k,HS-H81S,RACING GEAR,HS DAMPER,構造:単筒式<br>アッパー形状(F/R):ピロボール/ゴムブッシュ<br>内径 mm(F/R):65/65-56<br>自由長 mm(F/R):175/210,6(8・10)/3.7<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,,,リアスプリング専用品の為交換不可<br>リア純正スプリングラバーシート加工要,必ず適合表最後の注意事項をメーカーHPにてご参照ください。,115000,93200
