自動車メーカー,車種,型式,年式,適合詳細,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,仕様,スプリングレート kgf/mm(F/R),基準ダウン量 mm(F/R),推奨車高調整範囲 mm(F/R),備考,注意事項,定価,SET価格
日産,スカイライン,ER34,98/05～02/08,,スプリングレス,98000,,306047,PN016P-SP-qq-e-44k,PN016P-SP-qq-e-d-44k,PN016P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,10(12・14)/8(10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-50/-40,-60～-40/-50～-30,リア下部取付形状要確認,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,140000,110200
日産,スカイライン,ER34,98/05～02/08,,タイプD,114800,,306044,PN016P-D-qq-e-32k,PN016P-D-qq-e-d-32k,PN016P-D,RACING GEAR,ZX DAMPER タイプD,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/250,10(12)/8(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-55/-55,-65～-45/-65～-45,リア下部取付形状要確認,,164000,126600
日産,スカイライン,ER34,98/05～02/08,,,106400,,306046,PN016P-qq-e-12k,PN016P-qq-e-d-12k,PN016P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,10(12・14)/8(10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-50/-40,-60～-40/-50～-30,リア下部取付形状要確認,,152000,118400
日産,スカイライン,HCR32,89/05～93/08,,<div>タイプD</div><div>スプリングレス</div>,95200,,306031,PN003P-D-SP-qq-e-62k,PN003P-D-SP-qq-e-d-62k,PN003P-D-SP,RACING GEAR,ZX DAMPER タイプD スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/250,10(12)/8(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-45/-55,-55～-35/-65～-35,,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,136000,107500
日産,スカイライン,HCR32,89/05～93/08,,スプリングレス,95200,,306033,PN003P-SP-qq-e-41k,PN003P-SP-qq-e-d-41k,PN003P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,10(12・14)/8(10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-35,-50～-30/-45～-25,寒冷地仕様要確認,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,136000,107500
日産,スカイライン,HCR32,89/05～93/08,,タイプD,112000,,306030,PN003P-D-qq-e-30k,PN003P-D-qq-e-d-30k,PN003P-D,RACING GEAR,ZX DAMPER タイプD,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/250,10(12)/8(10)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-45/-55,-55～-35/-65～-35,,,160000,123800
日産,スカイライン,HCR32,89/05～93/08,,,103600,,306032,PN003P-qq-e-9k,PN003P-qq-e-d-9k,PN003P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,10(12・14)/8(10・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-40/-35,-50～-30/-45～-25,寒冷地仕様要確認,,148000,115700
日産,スカイラインGT-R,BCNR33,96/01～99/01,,スプリングレス,98000,,306039,PN006P-SP-qq-e-43k,PN006P-SP-qq-e-d-43k,PN006P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,12(10・14)/10(8・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-45/-40,-55～-35/-50～-30,,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,140000,110200
日産,スカイラインGT-R,BCNR33,96/01～99/01,,,106400,,306038,PN006P-qq-e-11k,PN006P-qq-e-d-11k,PN006P,RACING GEAR,ZX DAMPER,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,12(10・14)/10(8・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-45/-40,-55～-35/-50～-30,,,152000,118400
日産,スカイラインGT-R,BNR34,99/01～02/08,,スプリングレス,98000,,306049,PN017P-SP-qq-e-45k,PN017P-SP-qq-e-d-45k,PN017P-SP,RACING GEAR,ZX DAMPER スプリングレスキット,内径 mm(F/R):60/60<br>自由長 mm(F/R):180/200,12(10・14)/10(8・12)<br>バネレート変更をご希望の場合は、必ずご注文時にご希望のバネレートをお知らせください,-50/-40,-60～-40/-50～-30,,スプリングレスキットとなります。上記数値のうち、バネに関わるものはスプリング付きキットのデータとなりますので、参考としてください。,140000,110200
