自動車メーカー,車種,型式,年式,駆動,排気量,過給機,適合詳細,ダウン量,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,セット内容,バネレート kg/mm(F/R),バンプカット量 (F/R),マッチンググレード,備考,注意事項,定価,SET価格,,取付特記事項
トヨタ,ランドクルーザープラド,TRJ150W,2017/09～,4WD,2700,NA,,Fr：+25～+35mm<br>Rr：+15～+25mm,28230,,265416,TRJ150WUK-qq-e-f1-210k,TRJ150WUK-qq-e-d-210k,4511478256975,TRJ150WUK,TANABE,DEVIDE UP210,1台分,12.2/4.2,,TX/Lパッケージ 同一型式共通,データはMC後,タイヤ外径変更等される場合は灯火類の高さ注意,48000,44300,,KDSS装着車は作業対応不可
ホンダ,N-BOXカスタム,JF1,2011/12～2017/09,FF,660,NA,,Fr：+20～+30mm<br>Rr：+15～+25mm,17349,,265756,JF1UK-qq-e-f1-1082,JF1UK-qq-e-d-1082,4511478255879,JF1UK,TANABE,DEVIDE UP210,1台分,3.0/2.4,純正バンプカット不要,G・Lパッケージ,,,29000,32700,,
ホンダ,N-VAN,JJ1,2018/07～,FF,660,NA,,Fr：+15～+25mm<br>Rr：+5～+15mm,18546,,265775,JJ1UK-qq-e-f1-197k,JJ1UK-qq-e-d-197k,4511478256913,JJ1UK,TANABE,DEVIDE UP210,1台分,2.8/5.6,,G,,,31000,34000,,
ホンダ,ヴェゼル,RU2,2013/12～,4WD,1500,NA,MC前装着可,Fr：+25～+35mm<br>Rr：+25～+35mm,25970,,265746,RU2UK-qq-e-f1-7,RU2UK-qq-e-d-7,4511478256432,RU2UK,TANABE,DEVIDE UP210,1台分,2.6/3.7,純正バンプカット不要,G(MC後),,,44000,41900,,
ホンダ,ヴェゼル,RU3,2013/12～,2WD,1500,ハイブリッド,,Fr：+25～+35mm<br>Rr：+15～+25mm,25970,,265744,RU3UK-qq-e-f1-1083,RU3UK-qq-e-d-1083,4511478256265,RU3UK,TANABE,DEVIDE UP210,1台分,2.6/3.1,純正バンプカット不要,ハイブリットX,,,44000,41900,,
ホンダ,ヴェゼル,RU4,2013/12～2018/02,4WD,1500,ハイブリッド,,Fr：+30～+40mm<br>Rr：+20～+30mm,25970,,265748,RU4UK-qq-e-f1-8,RU4UK-qq-e-d-8,4511478256708,RU4UK,TANABE,DEVIDE UP210,1台分,2.6/5.0,純正バンプカット不要,ハイブリットX(MC前),,,44000,41900,,
ホンダ,ヴェゼル,RU4,2018/02～,4WD,1500,ハイブリッド,,Fr：+30～+40mm<br>Rr：+25～+35mm,25970,,265751,RU4UK-qq-e-f1-200k,RU4UK-qq-e-d-200k,4511478256708,RU4UK,TANABE,DEVIDE UP210,1台分,2.6/5.0,純正バンプカット不要,ハイブリッドZ(MC後),,,44000,41900,,
マツダ,CX-3,DK5AW,2015/02～2017/07,4WD,1500,ディーゼルターボ,,Fr：+40～+50mm<br>Rr：+35～+45mm,25970,,265902,DK5AWUK-qq-e-f1-12,DK5AWUK-qq-e-d-12,4511478256715,DK5AWUK,TANABE,DEVIDE UP210,1台分,2.8/4.2,,XDツーリングLパッケージ,,,44000,41900,,
マツダ,CX-3,DK5FW,2015/02～2017/07,FF,1500,ディーゼルターボ,,Fr：+25～+35mm<br>Rr：+25～+35mm,25970,,265894,DK5FWUK-qq-e-f1-1084,DK5FWUK-qq-e-d-1084,4511478256180,DK5FWUK,TANABE,DEVIDE UP210,1台分,2.8/3.0,純正バンプカット不要,XDツーリングLパッケージ,,,44000,41900,,
マツダ,CX-3,DK8FW,2018/05～,FF,1800,ディーゼルターボ,,Fr：+30～+40mm<br>Rr：+20～+30mm,25970,,265908,DK5FWUK-qq-e-f1-195k,DK5FWUK-qq-e-d-195k,4511478256180,DK5FWUK,TANABE,DEVIDE UP210,1台分,2.8/3.0,純正バンプカット不要,XD,,,44000,41900
マツダ,CX-3,DKEFW,2017/07～,FF,2000,NA,,Fr：+25～+35mm<br>Rr：+25～+35mm,27100,,265900,DKEFWUK-qq-e-f1-53k,DKEFWUK-qq-e-d-53k,4511478256869,DKEFWUK,TANABE,DEVIDE UP210,1台分,2.6/2.7,純正バンプカット不要,20S,,,46000,43100
マツダ,CX-5,KE2AW,2012/02～2017/02,4WD,2200,ディーゼルターボ,,Fr：+20～+30mm<br>Rr：+15～+25mm,25970,,265891,KE2AWUK-qq-e-f1-1085,KE2AWUK-qq-e-d-1085,4511478255893,KE2AWUK,TANABE,DEVIDE UP210,1台分,3.2/4.5,純正バンプカット不要,XDLパッケージ(MC前),,,44000,41900
