自動車メーカー,車種,型式,年式,駆動,排気量,過給機,適合詳細,車高調整幅,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,推奨車高 mm(F/R),バネレート kg/mm(F/R),仕様,フロントキャンバー調整,マッチンググレード,備考,注意事項,定価,SET価格,,取付特記事項
スズキ,ハスラー,MR31S,2014/01～,4WD専用,660,ターボ,,Fr：-24～-61mm<br>Rr：-31～-58mm,60346,,264686,CRMR41S4WDK-qq-e-f1-209k,CRMR41S4WDK-qq-e-d-209k,4511478355760,CRMR41S4WDK,TANABE,SUSTEC PRO CR,-38/-47,3.0/2.0,減衰力固定式<br>ネジ式,,Xターボ,リア車高調整スペーサー式,,79800,74900,,
スズキ,ハスラー,MR41S,2015/05～,FF専用,660,NA,,Fr：-19～-54mm<br>Rr：-30～-59mm,60346,,264258,CRMR31SK-qq-e-f1-164,CRMR31SK-qq-e-d-164,4511478354169,CRMR31SK,TANABE,SUSTEC PRO CR,-30/-46,3.0/2.0,減衰力固定式<br>ネジ式,,GS-エネチャージ,リア車高調整スペーサー式,,79800,74900,,
スズキ,ハスラー,MR41S,2015/05～,4WD専用,660,ターボ,,Fr：-23～-57mm<br>Rr：-43～-64mm,60346,,264687,CRMR41S4WDK-qq-e-f1-210k,CRMR41S4WDK-qq-e-d-210k,4511478355760,CRMR41S4WDK,TANABE,SUSTEC PRO CR,-34/-56,3.0/2.0,減衰力固定式<br>ネジ式,,Jスタイル II,リア車高調整スペーサー式,,79800,74900,,
スズキ,パレット,MK21S,2008/01～2013/02,FF,660,NA(ターボ装着可),パレットSW装着不可,Fr：-12～-58mm<br>Rr：-23～-51mm,60346,,264256,CRMK21SK-qq-e-f1-167,CRMK21SK-qq-e-d-167,4511478354183,CRMK21SK,TANABE,SUSTEC PRO CR,-50/-51,4.0/3.0,減衰力固定式<br>ネジ式,,XS,,,79800,74900,,
スズキ,ラパン,HE21S,2002/01～2003/09,4WD,660,NA,,データなし,60346,,264202,CRHE21SK-qq-e-f1-168,CRHE21SK-qq-e-d-168,4511478354091,CRHE21SK,TANABE,SUSTEC PRO CR,データなし,4.0/3.0,減衰力固定式<br>ネジ式,,現車未確認,未計測の為、車高データなし,,79800,74900,,
スズキ,ラパン,HE21S,2004/10～2005/12,FF(4WD装着可),660,ターボ(NA装着可),2型取付不可<br>リアダンパー下側取付幅:32mm車用,Fr：+13～-31mm<br>Rr：-7～-34mm,60346,,264439,CRHE21SK-qq-e-f1-170,CRHE21SK-qq-e-d-170,4511478354091,CRHE21SK,TANABE,SUSTEC PRO CR,-13/-21,4.0/3.0,減衰力固定式<br>ネジ式,,SS3型,,,79800,74900,,
スズキ,ラパン,HE21S,2005/12～2006/04,FF(4WD装着可),660,NA(ターボ装着可),2型取付不可<br>リアダンパー下側取付幅:32mm車用,Fr：-12～-53mm<br>Rr：-23～-49mm,60346,,264774,CRHE21SK-qq-e-f1-297k,CRHE21SK-qq-e-d-297k,4511478354091,CRHE21SK,TANABE,SUSTEC PRO CR,-37/-34,4.0/3.0,減衰力固定式<br>ネジ式,,G,,,79800,74900,,
スズキ,ラパン,HE22S,2008/11～2015/06,FF(4WD装着可),660,NA(ターボ装着可),,Fr：-3～-55mm<br>Rr：-27～-51mm,60346,,264252,CRMH23SK-qq-e-f1-169,CRMH23SK-qq-e-d-169,4511478354206,CRMH23SK,TANABE,SUSTEC PRO CR,-32/-43,4.0/2.0,減衰力固定式<br>ネジ式,,X,,,79800,74900,,
スズキ,ラパン,HE33S,2015/06～,4WD,660,NA,,データなし,60346,,264775,CRHA36SNA4WDK-qq-e-f1-298k,CRHA36SNA4WDK-qq-e-d-298k,4511478355739,CRHA36SNA4WDK,TANABE,SUSTEC PRO CR,データなし,3.0/3.0,減衰力固定式<br>ネジ式,,現車未確認,未計測の為、車高データなし,,79800,74900,,
スズキ,ラパン,HE33S,2015/06～,FF,660,NA専用,,Fr：-14～-52mm<br>Rr：-29～-66mm,60346,,264776,CRHA36SNAK-qq-e-f1-299k,CRHA36SNAK-qq-e-d-299k,4511478355722,CRHA36SNAK,TANABE,SUSTEC PRO CR,-36/-49,3.0/3.0,減衰力固定式<br>ネジ式,,S,,,79800,74900,,
スズキ,ランディ,SC25,2007/01～2010/12,FF,2000,NA,,データなし,60346,,264778,CRC25K-qq-e-f1-301k,CRC25K-qq-e-d-301k,4511478353537,CRC25K,TANABE,SUSTEC PRO CR,データなし,5.0/7.0,減衰力固定式<br>ネジ式,不可,現車未確認,未計測の為、車高データなし<br>フロント/リア共に純正アッパーマウント使用<br>フロント/リア共に純正バンプラバー/ダストブーツ使用,,79800,74900,,
スズキ,ランディ,SC26,2010/12～2016/08,FF,2000,NA,,データなし,60346,,264779,CRC26K-qq-e-f1-302k,CRC26K-qq-e-d-302k,4511478353520,CRC26K,TANABE,SUSTEC PRO CR,データなし,5.0/7.0,減衰力固定式<br>ネジ式,不可,現車未確認,未計測の為、車高データなし<br>フロント/リア共に純正アッパーマウント使用<br>フロント/リア共に純正バンプラバー/ダストブーツ使用,,79800,74900,,
スズキ,ワゴンR,MC12S,2000/12～2001/11,FF,660,NA,3型,データなし,60346,,264784,CRMC21SK-qq-e-f1-312k,CRMC21SK-qq-e-d-312k,4511478354237,CRMC21SK,TANABE,SUSTEC PRO CR,データなし,3.0/3.0,減衰力固定式<br>ネジ式,,現車未確認,未計測の為、車高データなし,,79800,74900,,
スズキ,ワゴンR,MC22S,2002/09～2003/09,FF,660,ターボ(NA装着可),5型～6型専用,Fr：-24～-67mm<br>Rr：-25～-53mm,60346,,264244,CRMC22SK-qq-e-f1-172,CRMC22SK-qq-e-d-172,4511478354244,CRMC22SK,TANABE,SUSTEC PRO CR,-55/-43,4.0/2.0,減衰力固定式<br>ネジ式,,RR,,,79800,74900,,
スズキ,ワゴンR,MC22S,2002/09～2003/09,FF,660,ターボ(NA装着可),5型～6型専用,Fr：-8～-56mm<br>Rr：-21～-47mm,60346,,264448,CRMC22SK-qq-e-f1-171,CRMC22SK-qq-e-d-171,4511478354244,CRMC22SK,TANABE,SUSTEC PRO CR,0/0,4.0/2.0,減衰力固定式<br>ネジ式,,N-1,,,79800,74900,,
スズキ,ワゴンR,MH21S,2004/12～2007/05,FF,660,NA,3型以降専用,Fr：-13～-56mm<br>Rr：-15～-45mm,60346,,264450,CRMH21SMCK-qq-e-f1-175,CRMH21SMCK-qq-e-d-175,4511478354213,CRMH21SMCK,TANABE,SUSTEC PRO CR,-44/-33,3.0/3.0,減衰力固定式<br>ネジ式,,FX-Sリミテッド4型,,,79800,74900,,
スズキ,ワゴンR,MH21S,2004/12～2007/05,FF,660,NA,3型以降専用,Fr：-5～-52mm<br>Rr：-18～-48mm,60346,,264250,CRMH21SMCK-qq-e-f1-173,CRMH21SMCK-qq-e-d-173,4511478354213,CRMH21SMCK,TANABE,SUSTEC PRO CR,-40/-36,3.0/3.0,減衰力固定式<br>ネジ式,,FX-Sリミテッド4型,,,79800,74900,,
スズキ,ワゴンR,MH22S,2007/02～2008/09,FF(4WD装着可),660,NA(ターボ装着可),,Fr：-10～-51mm<br>Rr：-15～-46mm,60346,,264251,CRMH21SMCK-qq-e-f1-184,CRMH21SMCK-qq-e-d-184,4511478354213,CRMH21SMCK,TANABE,SUSTEC PRO CR,-40/-35,3.0/3.0,減衰力固定式<br>ネジ式,,スティングレーX,,,79800,74900,,
スズキ,ワゴンR,MH22S,2007/02～2008/09,FF(4WD装着可),660,ターボ(NA装着可),,Fr：-8～-50mm<br>Rr：-16～-45mm,60346,,264449,CRMH21SMCK-qq-e-f1-174,CRMH21SMCK-qq-e-d-174,4511478354213,CRMH21SMCK,TANABE,SUSTEC PRO CR,0/0,3.0/3.0,減衰力固定式<br>ネジ式,,RR-Sリミテッド,,,79800,74900,,
スズキ,ワゴンR,MH23S,2008/09～2012/09,FF,660,NA,,Fr：-11～-59mm<br>Rr：-35～-63mm,60346,,264253,CRMH23SK-qq-e-f1-176,CRMH23SK-qq-e-d-176,4511478354206,CRMH23SK,TANABE,SUSTEC PRO CR,-35/-35,4.0/2.0,減衰力固定式<br>ネジ式,,スティングレーX,,,79800,74900,,
スズキ,ワゴンR,MH23S,2008/09～2012/09,FF,660,NA,,データなし,60346,,264785,CRMH23SK-qq-e-f1-313k,CRMH23SK-qq-e-d-313k,4511478354206,CRMH23SK,TANABE,SUSTEC PRO CR,データなし,4.0/2.0,減衰力固定式<br>ネジ式,,現車未確認,未計測の為、車高データなし,,79800,74900,,
スズキ,ワゴンR,MH34S,2012/09～2017/02,4WD,660,ターボ,,Fr：-18～-57mm<br>Rr：-22～-44mm,60346,,264786,CRMH34S4WDK-qq-e-f1-314k,CRMH34S4WDK-qq-e-d-314k,4511478356255,CRMH34S4WDK,TANABE,SUSTEC PRO CR,-33/-32,3.0/2.0,減衰力固定式<br>ネジ式,,スティングレーT,リア車高調整スペーサー式,,79800,74900,,
スズキ,ワゴンR,MH34S,2012/09～2017/02,FF,660,ターボ,,Fr：-2～-52mm<br>Rr：-18～-47mm,60346,,264451,CRMH34SK-qq-e-f1-178,CRMH34SK-qq-e-d-178,4511478354190,CRMH34SK,TANABE,SUSTEC PRO CR,-28/-34,3.0/2.0,減衰力固定式<br>ネジ式,,スティングレーT,リア車高調整スペーサー式,,79800,74900,,
スズキ,ワゴンR,MH34S,2014/08～2017/02,FF,660,NA,,Fr：-11～-50mm<br>Rr：-19～-47mm,60346,,264254,CRMH34SK-qq-e-f1-177,CRMH34SK-qq-e-d-177,4511478354190,CRMH34SK,TANABE,SUSTEC PRO CR,-24/-35,3.0/2.0,減衰力固定式<br>ネジ式,,FX,リア車高調整スペーサー式,,79800,74900,,
スズキ,ワゴンR,MH44S,2014/08～2017/02,FF,660,NA,,Fr：-13～-52mm<br>Rr：-20～-48mm,60346,,264255,CRMH34SK-qq-e-f1-179,CRMH34SK-qq-e-d-179,4511478354190,CRMH34SK,TANABE,SUSTEC PRO CR,-26/-36,3.0/2.0,減衰力固定式<br>ネジ式,,FZ,リア車高調整スペーサー式,,79800,74900,,
スズキ,ワゴンR,MH44S,2015/08～2017/02,FF,660,ターボ,Sエネチャージ搭載車,Fr：-15～-52mm<br>Rr：-22～-52mm,60346,,264452,CRMH34SK-qq-e-f1-180,CRMH34SK-qq-e-d-180,4511478354190,CRMH34SK,TANABE,SUSTEC PRO CR,-29/-38,3.0/2.0,減衰力固定式<br>ネジ式,,スティングレーT,リア車高調整スペーサー式,,79800,74900,,
スズキ,ワゴンR,MH55S,2017/02～,FF,660,NA,,Fr：-21～-55mm<br>Rr：-38～-64mm,60346,,265055,CRMH55SK-qq-e-f1-587k,CRMH55SK-qq-e-d-587k,4511478356170,CRMH55SK,TANABE,SUSTEC PRO CR,-38/-45,3.0/3.0,減衰力固定式<br>ネジ式,,ハイブリッドFX,,,79800,74900,,
スズキ,ワゴンR,MH55S,2017/02～,FF,660,ターボ,,Fr：-20～-52mm<br>Rr：-38～-61mm,60346,,264787,CRMH55SK-qq-e-f1-315k,CRMH55SK-qq-e-d-315k,4511478356170,CRMH55SK,TANABE,SUSTEC PRO CR,-36/-45,3.0/3.0,減衰力固定式<br>ネジ式,,スティングレイハイブリッドT,,,79800,74900,,
