自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
ALFAROMEO,166,936A1/936A2,1999/09～,,2.5 V6 24V/3.0 V6 24V(4POT),リア,19763,,286337,MX72-EIP081-qq-e-5901k,出さない,,EIP081,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,166,936A1/936A2,1999/09～,,2.5 V6 24V/3.0 V6 24V(ate 2POT),リア,19763,,290192,MX72-EIP081-qq-e-5900k,出さない,,EIP081,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,4C,96018,2014/07～,,ベースグレード/ローンチエディション,フロント,19763,,285489,MX72-EIP191-qq-e-3440k,出さない,,EIP191,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,4C,96018,2015/11～,,スパイダー,フロント,19763,,282603,MX72-EIP191-qq-e-3441k,出さない,,EIP191,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,GT,,2004～,,2.0 JTS,フロント,19763,,281956,MX72-EIP080-qq-e-3466k,出さない,,EIP080,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,GT,,2004～,,2.0 JTS,リア,19763,,283340,MX72-EIP115-qq-e-5916k,出さない,,EIP115,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,GT,,2004～,,3.2 V6 24V,フロント,19763,,286044,MX72-EIP111-qq-e-3467k,出さない,,EIP111,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,GT,,2004～,,3.2 V6 24V,リア,19763,,288044,MX72-EIP115-qq-e-5917k,出さない,,EIP115,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,GTV,916C1,1997～1998,,3.0 V6 24V(ブレンボ),フロント,19763,,282411,MX72-EIP112-qq-e-3444k,出さない,,EIP112,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,GTV,916C2A/916C1,1996～1998,,2.0 ツインスパーク/3.0 V6(ate),フロント,19763,,289283,MX72-EIP080-qq-e-3442k,出さない,,EIP080,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
ALFAROMEO,GTV,916CXB,2003/07～,,3.0 V6 24V(ブレンボ),フロント,19763,,283337,MX72-EIP112-qq-e-3446k,出さない,,EIP112,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,純正シムの移植ができない場合があります,24000,出さない
