自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,SET価格
スズキ,スイフト,ZC13S,H29/7～,1000,,フロント,14578,,281736,TYPER-EP487-qq-e-5882k,TYPER-EP487-qq-e-d-5882k,4515693344875,EP487,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,スイフト,ZC13S,H29/7～,1000,,リア,14578,,281743,TYPER-EP488-qq-e-8473k,TYPER-EP488-qq-e-d-8473k,4515693344882,EP488,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,スイフト,ZC43S/ZC83S/ZD83S,H29/2～,1300,4輪ディスク,フロント,14578,,281735,TYPER-EP487-qq-e-5881k,TYPER-EP487-qq-e-d-5881k,4515693344875,EP487,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,スイフト,ZC43S/ZC83S/ZD83S,H29/2～,1300,4輪ディスク,リア,14578,,281742,TYPER-EP488-qq-e-8472k,TYPER-EP488-qq-e-d-8472k,4515693344882,EP488,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,スイフト,ZC53S/ZD53S,H29/2～,1300,,フロント,14578,,281734,TYPER-EP487-qq-e-5880k,TYPER-EP487-qq-e-d-5880k,4515693344875,EP487,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,スイフト,ZC53S/ZD53S,H29/2～,1300,,リア,14578,,281741,TYPER-EP488-qq-e-8471k,TYPER-EP488-qq-e-d-8471k,4515693344882,EP488,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,スイフト,ZC71S,H19/5～H29/1,1200,リアドラム,フロント,14578,,281631,TYPER-EP430-qq-e-5876k,TYPER-EP430-qq-e-d-5876k,4515693344301,EP430,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,スイフト,ZC72S,H22/9～H29/1,1200,リアドラム,フロント,14578,,281632,TYPER-EP430-qq-e-5877k,TYPER-EP430-qq-e-d-5877k,4515693344301,EP430,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,スイフト,ZC72S/ZD72S,H22/9～H29/1,1200,ZC72S(4輪ディスク),フロント,14578,,281732,TYPER-EP487-qq-e-5878k,TYPER-EP487-qq-e-d-5878k,4515693344875,EP487,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
スズキ,スイフト,ZC72S/ZD72S,H22/9～H29/1,1200,ZC72S(4輪ディスク),リア,14578,,281739,TYPER-EP488-qq-e-8469k,TYPER-EP488-qq-e-d-8469k,4515693344882,EP488,ENDLESS,ブレーキパッド,NEW TYPE R,ローター適正温度域:50～650℃<br>平均摩擦係数:0.30～0.35<br>材質:ロースチール<br>走行フィールド:ワインディング～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,20000,16400
