"自動車メーカー,車種,型式,エンジン,年式,適合詳細,ダウン量,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,バネレート【F/R】(kg/mm)	,定価,送料,SET価格"
日産,キューブ,Z12,HR15DE,08/11～,,Fr：30～40mm<br>Rr：35～45mm,,13195,,260293,H100B62-qq-e-f1-32k,H100B62-qq-e-d-32k,H100B62,JIC,X-MAGIC,1台分,1.6/4.0,23500,1100,29000
日産,シルビア,PS13,SR20DE/SR20DET,91/1～93/10,,Fr：30～40mm<br>Rr：25～35mm,,12176,,260295,H100770-qq-e-f1-34k,H100770-qq-e-d-34k,H100770,JIC,X-MAGIC,1台分,3.0/2.4,21500,1100,27900
日産,シルビア,S13,CA18DE/CA18DET,88/5～91/1,,Fr：30～40mm<br>Rr：25～35mm,,12176,,260294,H100771-qq-e-f1-33k,H100771-qq-e-d-33k,H100771,JIC,X-MAGIC,1台分,3.0/2.4,21500,1100,27900
日産,スカイラインGT-R,BNR34,RB26DETT,99/1～,,Fr：30～40mm<br>Rr：20～30mm,,16406,,260296,H100880-qq-e-f1-35k,H100880-qq-e-d-35k,H100880,JIC,X-MAGIC,1台分,5.6/6.0,29800,1100,32400
日産,ティアナ,J31,VQ23,03/2～,,Fr：20～30mm<br>Rr：35～45mm,,16253,,260297,H100J31-qq-e-f1-36k,H100J31-qq-e-d-36k,H100J31,JIC,X-MAGIC,1台分,3.7/3.9,29500,1100,32300
日産,ノート,E12,HR12DDR,12/9～,2WD スーパーチャージャー用,Fr：30～40mm<br>Rr：50～60mm,,15998,,260298,H100E12-qq-e-f1-37k,H100E12-qq-e-d-37k,H100E12,JIC,X-MAGIC,1台分,1.94/2.97,29000,1100,32000
日産,マーチ,AK12/BK12,CR10DE/CR12DE/CR14DE,92/2～,,Fr：25～35mm<br>Rr：25～35mm,,11411,,260299,H100B71-qq-e-f1-38k,H100B71-qq-e-d-38k,H100B71,JIC,X-MAGIC,1台分,2.7/3.6,20000,1100,27000
日産,ルークス,ML21S,K6A,09/9～,,Fr：40～50mm<br>Rr：40～50mm,,10646,,260300,H100MK2-qq-e-f1-39k,H100MK2-qq-e-d-39k,H100MK2,JIC,X-MAGIC,1台分,2.6/1.7,18500,1100,26200
ホンダ,N-BOX,JF1,S07A,11/11～,N-BOX+及びターボ車は装着未確認,Fr：40～50mm<br>Rr：35～45mm,カスタムG Lパッケージで確認,13960,,260301,H100HA1-qq-e-f1-40k,H100HA1-qq-e-d-40k,H100HA1,JIC,X-MAGIC,1台分,1.97/1.84,25000,1100,29800
ホンダ,N-BOX+,JF2,S07A,12/7～,4WD車用,Fr：25～35mm<br>Rr：35～45mm,N-BOX+カスタムで装着,14469,,260302,H100HA2-qq-e-f1-41k,H100HA2-qq-e-d-41k,H100HA2,JIC,X-MAGIC,1台分,2.07/2.88,26000,1100,30300
